x,y,label
1.97,117.0,Stroke 1
1.07,143.94,Stroke 1
12.46,132.61,Stroke 1
41.72,133.22,Stroke 1
3.08,84.92,Stroke 2
1.19,110.95,Stroke 2
13.22,99.93,Stroke 2
42.76,100.86,Stroke 2
58.93,120.41,Stroke 3
43.0,133.97,Stroke 3
53.56,133.16,Stroke 3
58.15,144.98,Stroke 3
64.97,88.92,Stroke 4
44.17,100.97,Stroke 4
54.24,103.76,Stroke 4
59.87,112.71,Stroke 4
67.93,120.03,Stroke 5
65.84,145.8,Stroke 5
77.78,135.12,Stroke 5
122.04,136.11,Stroke 5
68.77,86.93,Stroke 6
66.12,112.92,Stroke 6
78.58,102.4,Stroke 6
99.87,103.15,Stroke 6
118.04,92.99,Stroke 7
115.94,114.98,Stroke 7
100.71,103.77,Stroke 7
61.06,103.94,Stroke 7
145.09,89.06,Stroke 8
118.04,92.99,Stroke 8
129.93,100.29,Stroke 8
129.21,145.05,Stroke 8
145.09,89.06,Stroke 9
166.05,94.08,Stroke 9
155.07,102.88,Stroke 9
155.5,138.91,Stroke 9
161.94,121.36,Stroke 10
145.9,142.7,Stroke 10
158.28,138.81,Stroke 10
164.84,146.9,Stroke 10
160.19,109.11,Stroke 11
158.08,129.84,Stroke 11
169.43,122.06,Stroke 11
200.92,122.14,Stroke 11
173.8,87.85,Stroke 12
159.96,101.96,Stroke 12
169.75,101.68,Stroke 12
175.99,106.92,Stroke 12
217.0,111.91,Stroke 13
214.9,130.05,Stroke 13
202.43,122.19,Stroke 13
172.77,121.58,Stroke 13
212.95,95.8,Stroke 14
233.84,97.02,Stroke 14
221.81,105.71,Stroke 14
221.28,140.79,Stroke 14
229.82,88.12,Stroke 15
253.81,91.91,Stroke 15
241.28,100.98,Stroke 15
240.84,146.08,Stroke 15
