x,y,label
7.22,118.06,Stroke 1
4.98,144.82,Stroke 1
18.37,133.57,Stroke 1
68.91,123.07,Stroke 1
9.01,85.89,Stroke 2
6.08,112.01,Stroke 2
18.57,100.81,Stroke 2
48.76,101.84,Stroke 2
63.82,121.23,Stroke 3
48.92,135.0,Stroke 3
59.44,134.19,Stroke 3
63.99,146.08,Stroke 3
70.9,90.0,Stroke 4
50.08,101.99,Stroke 4
60.06,104.52,Stroke 4
65.76,113.85,Stroke 4
73.77,121.01,Stroke 5
71.16,146.92,Stroke 5
83.57,136.34,Stroke 5
127.91,137.27,Stroke 5
74.17,88.13,Stroke 6
72.04,113.97,Stroke 6
84.29,103.5,Stroke 6
105.82,104.18,Stroke 6
120.73,92.64,Stroke 7
121.85,116.05,Stroke 7
106.38,104.92,Stroke 7
71.38,105.27,Stroke 7
124.22,88.15,Stroke 8
150.06,90.97,Stroke 8
135.9,101.18,Stroke 8
135.09,146.85,Stroke 8
144.41,127.4,Stroke 9
141.88,145.83,Stroke 9
152.16,137.77,Stroke 9
188.0,138.14,Stroke 9
151.8,118.99,Stroke 10
148.96,131.75,Stroke 10
157.31,125.19,Stroke 10
187.07,125.12,Stroke 10
151.98,109.95,Stroke 11
151.8,118.99,Stroke 11
157.66,114.88,Stroke 11
187.21,114.98,Stroke 11
150.06,90.97,Stroke 12
151.98,109.95,Stroke 12
157.7,105.74,Stroke 12
186.86,105.97,Stroke 12
180.86,93.74,Stroke 13
201.93,95.0,Stroke 13
189.43,103.78,Stroke 13
188.0,138.14,Stroke 13
195.97,119.02,Stroke 14
192.79,134.85,Stroke 14
201.47,126.65,Stroke 14
230.09,126.93,Stroke 14
194.11,102.87,Stroke 15
195.97,119.02,Stroke 15
202.1,114.73,Stroke 15
230.1,114.2,Stroke 15
224.21,88.17,Stroke 16
251.06,90.14,Stroke 16
235.4,101.13,Stroke 16
235.13,146.11,Stroke 16
