x,y,label
71.9,87.9,Stroke 1
69.12,113.13,Stroke 1
81.19,102.51,Stroke 1
123.2,103.9,Stroke 1
83.97,118.87,Stroke 2
81.09,144.81,Stroke 2
93.87,133.19,Stroke 2
125.47,135.05,Stroke 2
115.98,89.91,Stroke 3
141.8,91.83,Stroke 3
126.99,101.83,Stroke 3
126.66,146.01,Stroke 3
140.08,118.09,Stroke 4
129.06,126.93,Stroke 4
139.27,126.93,Stroke 4
146.08,133.14,Stroke 4
147.99,109.94,Stroke 5
140.08,118.09,Stroke 5
147.58,119.58,Stroke 5
155.09,126.93,Stroke 5
158.59,101.38,Stroke 6
147.99,109.94,Stroke 6
154.93,112.37,Stroke 6
161.02,119.79,Stroke 6
163.98,117.85,Stroke 7
147.93,136.83,Stroke 7
159.43,136.06,Stroke 7
167.24,142.05,Stroke 7
160.77,89.89,Stroke 8
186.03,92.0,Stroke 8
171.6,102.37,Stroke 8
170.61,147.22,Stroke 8
