x,y,label
80.22,103.13,Stroke 1
82.97,124.03,Stroke 1
92.07,118.8,Stroke 1
114.73,118.93,Stroke 1
82.97,124.03,Stroke 2
77.94,145.11,Stroke 2
92.86,134.57,Stroke 2
134.1,134.1,Stroke 2
132.84,107.92,Stroke 3
130.95,129.09,Stroke 3
115.34,118.88,Stroke 3
84.58,118.33,Stroke 3
125.87,89.94,Stroke 4
144.98,93.93,Stroke 4
136.44,102.0,Stroke 4
136.78,145.05,Stroke 4
144.98,93.93,Stroke 5
158.9,94.92,Stroke 5
150.72,102.17,Stroke 5
150.97,145.04,Stroke 5
152.63,91.42,Stroke 6
178.08,92.11,Stroke 6
163.74,103.22,Stroke 6
163.8,146.08,Stroke 6
