x,y,label
53.82,107.13,Stroke 1
56.0,127.99,Stroke 1
63.76,122.0,Stroke 1
78.13,122.77,Stroke 1
56.0,127.99,Stroke 2
51.08,148.0,Stroke 2
64.32,137.15,Stroke 2
105.1,137.16,Stroke 2
80.94,111.96,Stroke 3
76.0,131.15,Stroke 3
87.59,121.8,Stroke 3
105.9,121.93,Stroke 3
78.06,90.97,Stroke 4
80.94,111.96,Stroke 4
87.61,106.28,Stroke 4
104.9,106.83,Stroke 4
97.1,90.94,Stroke 5
116.97,95.04,Stroke 5
107.79,102.64,Stroke 5
107.96,146.07,Stroke 5
111.92,91.64,Stroke 6
137.84,92.93,Stroke 6
123.06,103.23,Stroke 6
122.92,146.17,Stroke 6
141.55,108.52,Stroke 7
126.12,122.2,Stroke 7
138.44,121.79,Stroke 7
146.09,128.07,Stroke 7
150.01,117.97,Stroke 8
147.72,132.05,Stroke 8
155.35,124.34,Stroke 8
165.0,124.93,Stroke 8
149.0,102.73,Stroke 9
150.01,117.97,Stroke 9
156.01,112.43,Stroke 9
164.86,113.2,Stroke 9
165.15,101.94,Stroke 10
166.12,117.0,Stroke 10
171.81,112.83,Stroke 10
187.95,113.1,Stroke 10
166.12,117.0,Stroke 11
163.79,131.75,Stroke 11
171.82,123.78,Stroke 11
188.14,124.87,Stroke 11
179.88,90.05,Stroke 12
205.14,92.03,Stroke 12
190.64,102.64,Stroke 12
190.1,146.02,Stroke 12
