x,y,label
71.97,125.93,Stroke 1
68.92,139.1,Stroke 1
76.66,132.01,Stroke 1
86.23,132.93,Stroke 1
72.0,115.96,Stroke 2
71.97,125.93,Stroke 2
76.85,121.19,Stroke 2
88.06,121.96,Stroke 2
70.88,100.94,Stroke 3
72.0,115.96,Stroke 3
77.69,111.86,Stroke 3
87.24,112.94,Stroke 3
87.09,129.13,Stroke 4
84.98,154.09,Stroke 4
96.69,143.3,Stroke 4
114.88,145.82,Stroke 4
89.96,90.08,Stroke 5
87.93,114.77,Stroke 5
99.04,104.88,Stroke 5
111.9,105.13,Stroke 5
104.8,132.74,Stroke 6
118.02,135.95,Stroke 6
110.85,140.83,Stroke 6
110.31,152.18,Stroke 6
112.18,92.09,Stroke 7
109.96,116.06,Stroke 7
121.02,106.42,Stroke 7
132.0,106.9,Stroke 7
132.47,134.05,Stroke 8
118.02,135.95,Stroke 8
121.65,140.63,Stroke 8
121.03,151.96,Stroke 8
141.1,134.85,Stroke 9
127.04,135.93,Stroke 9
130.95,140.39,Stroke 9
130.32,152.04,Stroke 9
132.84,89.05,Stroke 10
130.02,114.13,Stroke 10
143.33,104.02,Stroke 10
183.84,104.98,Stroke 10
145.71,128.58,Stroke 11
140.92,143.67,Stroke 11
148.85,137.43,Stroke 11
176.11,138.08,Stroke 11
150.91,118.95,Stroke 12
150.86,125.93,Stroke 12
155.35,122.33,Stroke 12
175.89,123.01,Stroke 12
150.21,124.18,Stroke 13
149.65,135.83,Stroke 13
155.37,130.82,Stroke 13
176.02,131.11,Stroke 13
149.97,106.95,Stroke 14
150.91,118.95,Stroke 14
155.67,115.41,Stroke 14
178.22,117.95,Stroke 14
170.24,107.25,Stroke 15
187.06,108.93,Stroke 15
177.89,115.3,Stroke 15
176.11,138.08,Stroke 15
