label,x,y
Stroke 1,162,97
Stroke 1,22,259
Stroke 1,130,254
Stroke 1,194,315
Stroke 2,201,8
Stroke 2,183,161
Stroke 2,259,94
Stroke 2,478,105
Stroke 3,208,258
Stroke 3,194,412
Stroke 3,277,346
Stroke 3,504,367
Stroke 4,484,229
Stroke 4,395,311
Stroke 4,459,298
Stroke 4,504,367
Stroke 5,433,21
Stroke 5,554,47
Stroke 5,497,97
Stroke 5,504,367
Stroke 6,528,25
Stroke 6,631,48
Stroke 6,585,91
Stroke 6,586,360
Stroke 7,617,138
Stroke 7,516,252
Stroke 7,586,215
Stroke 7,632,291
Stroke 8,752,35
Stroke 8,631,48
Stroke 8,662,93
Stroke 8,663,366
Stroke 9,731,68
Stroke 9,626,176
Stroke 9,704,173
Stroke 9,753,214
