label,x,y
Stroke 1,29,78
Stroke 1,41,201
Stroke 1,88,164
Stroke 1,336,164
Stroke 2,41,201
Stroke 2,15,316
Stroke 2,88,254
Stroke 2,336,252
Stroke 3,296,270
Stroke 3,272,412
Stroke 3,348,351
Stroke 3,698,342
Stroke 4,303,8
Stroke 4,291,154
Stroke 4,367,94
Stroke 4,847,104
Stroke 5,348,123
Stroke 5,457,124
Stroke 5,382,164
Stroke 5,381,341
Stroke 6,476,219
Stroke 6,572,251
Stroke 6,519,268
Stroke 6,511,330
Stroke 7,489,117
Stroke 7,579,125
Stroke 7,521,162
Stroke 7,521,227
Stroke 8,649,163
Stroke 8,572,251
Stroke 8,628,245
Stroke 8,663,273
Stroke 9,656,225
Stroke 9,756,233
Stroke 9,697,274
Stroke 9,698,342
Stroke 10,663,118
Stroke 10,763,126
Stroke 10,704,162
Stroke 10,705,228
Stroke 11,808,34
Stroke 11,956,46
Stroke 11,870,104
Stroke 11,866,354
Stroke 12,899,208
Stroke 12,879,317
Stroke 12,945,268
Stroke 12,1187,266
Stroke 13,892,99
Stroke 13,899,208
Stroke 13,948,181
Stroke 13,1187,181
Stroke 14,1141,35
Stroke 14,1289,47
Stroke 14,1200,106
Stroke 14,1200,361
