label,x,y
Stroke 1,29,238
Stroke 1,15,399
Stroke 1,88,333
Stroke 1,531,341
Stroke 2,48,3
Stroke 2,23,144
Stroke 2,108,75
Stroke 2,523,84
Stroke 3,86,130
Stroke 3,176,150
Stroke 3,133,185
Stroke 3,133,380
Stroke 4,267,138
Stroke 4,176,150
Stroke 4,204,185
Stroke 4,202,381
Stroke 5,311,157
Stroke 5,303,252
Stroke 5,348,214
Stroke 5,388,219
Stroke 6,394,163
Stroke 6,383,252
Stroke 6,428,218
Stroke 6,536,220
Stroke 7,413,106
Stroke 7,505,117
Stroke 7,451,153
Stroke 7,452,317
Stroke 8,480,22
Stroke 8,645,34
Stroke 8,552,100
Stroke 8,549,380
