label,x,y
Stroke 1,29,258
Stroke 1,15,412
Stroke 1,90,350
Stroke 1,338,351
Stroke 2,41,7
Stroke 2,23,151
Stroke 2,101,90
Stroke 2,576,97
Stroke 3,79,181
Stroke 3,157,200
Stroke 3,121,233
Stroke 3,120,418
Stroke 4,247,189
Stroke 4,157,200
Stroke 4,187,232
Stroke 4,185,418
Stroke 5,242,123
Stroke 5,337,131
Stroke 5,281,168
Stroke 5,279,327
Stroke 6,331,165
Stroke 6,309,250
Stroke 6,348,213
Stroke 6,394,219
Stroke 7,373,145
Stroke 7,383,247
Stroke 7,421,211
Stroke 7,471,219
Stroke 8,445,118
Stroke 8,504,132
Stroke 8,475,154
Stroke 8,477,278
Stroke 9,498,259
Stroke 9,446,315
Stroke 9,487,311
Stroke 9,482,345
Stroke 10,567,126
Stroke 10,504,132
Stroke 10,525,156
Stroke 10,517,280
Stroke 11,533,249
Stroke 11,497,317
Stroke 11,528,309
Stroke 11,550,331
Stroke 12,543,46
Stroke 12,696,55
Stroke 12,610,118
Stroke 12,607,380
