label,x,y
Stroke 1,40,7
Stroke 1,15,138
Stroke 1,94,76
Stroke 1,342,81
Stroke 2,80,239
Stroke 2,60,317
Stroke 2,113,273
Stroke 2,290,277
Stroke 3,84,182
Stroke 3,80,239
Stroke 3,113,210
Stroke 3,297,213
Stroke 4,78,105
Stroke 4,84,182
Stroke 4,117,156
Stroke 4,302,162
Stroke 5,353,201
Stroke 5,297,252
Stroke 5,353,250
Stroke 5,394,278
Stroke 6,389,0
Stroke 6,290,61
Stroke 6,372,62
Stroke 6,502,175
Stroke 7,412,125
Stroke 7,353,201
Stroke 7,395,210
Stroke 7,437,246
Stroke 8,502,187
Stroke 8,412,285
Stroke 8,482,280
Stroke 8,528,317
Stroke 9,481,84
Stroke 9,641,92
Stroke 9,546,149
Stroke 9,545,379
Stroke 10,502,0
Stroke 10,612,0
Stroke 10,548,33
Stroke 10,512,174
