label,x,y
Stroke 1,41,189
Stroke 1,16,304
Stroke 1,77,244
Stroke 1,266,245
Stroke 2,29,68
Stroke 2,41,189
Stroke 2,79,156
Stroke 2,264,156
Stroke 3,252,3
Stroke 3,227,125
Stroke 3,303,61
Stroke 3,548,66
Stroke 4,239,265
Stroke 4,220,437
Stroke 4,304,364
Stroke 4,566,368
Stroke 5,271,92
Stroke 5,374,93
Stroke 5,305,136
Stroke 5,303,343
Stroke 6,387,220
Stroke 6,367,328
Stroke 6,421,274
Stroke 6,561,277
Stroke 7,388,144
Stroke 7,387,220
Stroke 7,424,188
Stroke 7,560,189
Stroke 8,514,9
Stroke 8,663,21
Stroke 8,581,89
Stroke 8,566,368
Stroke 9,647,226
Stroke 9,624,335
Stroke 9,675,277
Stroke 9,846,279
Stroke 10,635,104
Stroke 10,647,226
Stroke 10,680,188
Stroke 10,847,195
Stroke 11,797,21
Stroke 11,949,33
Stroke 11,860,99
Stroke 11,860,394
