label,x,y
Stroke 1,117,42
Stroke 1,15,156
Stroke 1,88,150
Stroke 1,135,188
Stroke 2,129,213
Stroke 2,27,322
Stroke 2,101,317
Stroke 2,148,356
Stroke 3,136,8
Stroke 3,327,23
Stroke 3,204,88
Stroke 3,200,374
Stroke 4,346,207
Stroke 4,341,278
Stroke 4,385,244
Stroke 4,469,245
Stroke 5,341,278
Stroke 5,309,386
Stroke 5,385,326
Stroke 5,647,323
Stroke 6,346,131
Stroke 6,346,207
Stroke 6,385,174
Stroke 6,475,180
Stroke 7,327,23
Stroke 7,346,131
Stroke 7,386,105
Stroke 7,641,105
Stroke 8,475,136
Stroke 8,461,283
Stroke 8,534,220
Stroke 8,738,227
Stroke 9,596,10
Stroke 9,756,22
Stroke 9,662,91
Stroke 9,661,368
