label,x,y
Stroke 1,36,240
Stroke 1,21,411
Stroke 1,101,343
Stroke 1,272,334
Stroke 2,54,3
Stroke 2,28,144
Stroke 2,109,73
Stroke 2,344,80
Stroke 3,85,105
Stroke 3,170,118
Stroke 3,118,146
Stroke 3,118,325
Stroke 4,170,118
Stroke 4,246,136
Stroke 4,209,165
Stroke 4,209,334
Stroke 5,331,125
Stroke 5,246,136
Stroke 5,270,162
Stroke 5,272,334
Stroke 6,246,136
Stroke 6,312,176
Stroke 6,273,206
Stroke 6,272,334
Stroke 7,304,9
Stroke 7,458,21
Stroke 7,372,88
Stroke 7,368,374
