label,x,y
Stroke 1,130,9
Stroke 1,16,136
Stroke 1,106,127
Stroke 1,161,174
Stroke 2,132,213
Stroke 2,117,379
Stroke 2,202,311
Stroke 2,475,316
Stroke 3,259,15
Stroke 3,162,125
Stroke 3,231,124
Stroke 3,272,157
Stroke 4,317,17
Stroke 4,303,176
Stroke 4,373,108
Stroke 4,471,118
Stroke 5,430,8
Stroke 5,584,16
Stroke 5,494,84
Stroke 5,490,368
Stroke 6,617,80
Stroke 6,519,194
Stroke 6,590,184
Stroke 6,628,213
Stroke 7,629,233
Stroke 7,564,297
Stroke 7,635,296
Stroke 7,688,337
Stroke 8,699,159
Stroke 8,629,233
Stroke 8,678,245
Stroke 8,726,285
Stroke 9,675,14
Stroke 9,833,23
Stroke 9,741,92
Stroke 9,739,380
