label,x,y
Stroke 1,80,239
Stroke 1,14,289
Stroke 1,79,285
Stroke 1,125,324
Stroke 2,125,195
Stroke 2,80,239
Stroke 2,126,247
Stroke 2,165,285
Stroke 3,196,123
Stroke 3,125,195
Stroke 3,165,205
Stroke 3,209,251
Stroke 4,227,8
Stroke 4,130,104
Stroke 4,204,99
Stroke 4,246,135
Stroke 5,196,303
Stroke 5,188,411
Stroke 5,241,366
Stroke 5,397,372
Stroke 6,243,200
Stroke 6,229,310
Stroke 6,289,265
Stroke 6,397,271
Stroke 7,286,66
Stroke 7,274,170
Stroke 7,330,127
Stroke 7,518,132
Stroke 8,398,0
Stroke 8,305,34
Stroke 8,378,32
Stroke 8,466,130
Stroke 9,363,158
Stroke 9,480,169
Stroke 9,412,213
Stroke 9,414,407
