label,x,y
Stroke 1,34,65
Stroke 1,15,226
Stroke 1,92,160
Stroke 1,227,164
Stroke 2,303,80
Stroke 2,205,164
Stroke 2,261,176
Stroke 2,298,225
Stroke 3,226,194
Stroke 3,206,348
Stroke 3,285,284
Stroke 3,544,290
Stroke 4,238,3
Stroke 4,213,118
Stroke 4,288,62
Stroke 4,534,66
Stroke 5,500,7
Stroke 5,616,22
Stroke 5,561,73
Stroke 5,544,290
Stroke 6,595,232
Stroke 6,488,347
Stroke 6,570,333
Stroke 6,616,379
Stroke 7,749,9
Stroke 7,616,22
Stroke 7,657,74
Stroke 7,654,264
Stroke 8,692,232
Stroke 8,590,342
Stroke 8,665,342
Stroke 8,712,379
