label,x,y
Stroke 1,42,189
Stroke 1,15,303
Stroke 1,84,242
Stroke 1,321,240
Stroke 2,29,67
Stroke 2,42,189
Stroke 2,88,157
Stroke 2,341,156
Stroke 3,315,271
Stroke 3,258,317
Stroke 3,315,315
Stroke 3,353,343
Stroke 4,360,208
Stroke 4,315,271
Stroke 4,352,278
Stroke 4,387,309
Stroke 5,386,97
Stroke 5,333,189
Stroke 5,382,189
Stroke 5,445,246
Stroke 6,449,258
Stroke 6,361,348
Stroke 6,426,343
Stroke 6,471,380
Stroke 7,495,195
Stroke 7,468,311
Stroke 7,535,252
Stroke 7,621,254
Stroke 8,481,79
Stroke 8,495,195
Stroke 8,539,164
Stroke 8,679,157
Stroke 9,672,28
Stroke 9,572,135
Stroke 9,643,129
Stroke 9,679,157
Stroke 10,674,201
Stroke 10,577,304
Stroke 10,648,302
Stroke 10,692,337
Stroke 11,732,15
Stroke 11,896,28
Stroke 11,804,93
Stroke 11,800,368
