label,x,y
Stroke 1,112,239
Stroke 1,22,336
Stroke 1,90,334
Stroke 1,131,368
Stroke 2,123,112
Stroke 2,33,213
Stroke 2,99,207
Stroke 2,144,246
Stroke 3,123,4
Stroke 3,42,85
Stroke 3,112,78
Stroke 3,158,118
Stroke 4,234,245
Stroke 4,148,341
Stroke 4,214,336
Stroke 4,257,373
Stroke 5,251,112
Stroke 5,156,215
Stroke 5,226,210
Stroke 5,271,252
Stroke 6,251,4
Stroke 6,169,87
Stroke 6,237,82
Stroke 6,284,119
Stroke 7,298,201
Stroke 7,285,367
Stroke 7,369,304
Stroke 7,629,309
Stroke 8,315,9
Stroke 8,292,169
Stroke 8,376,100
Stroke 8,623,105
Stroke 9,348,132
Stroke 9,471,143
Stroke 9,401,189
Stroke 9,400,292
Stroke 10,578,8
Stroke 10,737,15
Stroke 10,644,85
Stroke 10,643,381
