label,x,y
Stroke 1,112,299
Stroke 1,14,373
Stroke 1,81,364
Stroke 1,124,405
Stroke 2,99,271
Stroke 2,14,373
Stroke 2,83,343
Stroke 2,124,405
Stroke 3,40,93
Stroke 3,144,117
Stroke 3,96,155
Stroke 3,97,277
Stroke 4,125,79
Stroke 4,253,100
Stroke 4,177,149
Stroke 4,172,225
Stroke 5,202,203
Stroke 5,112,303
Stroke 5,178,295
Stroke 5,217,331
Stroke 6,201,4
Stroke 6,125,79
Stroke 6,189,73
Stroke 6,222,100
Stroke 7,209,144
Stroke 7,292,164
Stroke 7,259,197
Stroke 7,259,388
Stroke 8,348,158
Stroke 8,292,164
Stroke 8,326,193
Stroke 8,324,386
Stroke 9,292,167
Stroke 9,370,207
Stroke 9,327,239
Stroke 9,324,386
Stroke 10,361,91
Stroke 10,497,100
Stroke 10,417,157
Stroke 10,415,392
