label,x,y
Stroke 1,130,34
Stroke 1,15,156
Stroke 1,96,147
Stroke 1,155,194
Stroke 2,124,189
Stroke 2,15,304
Stroke 2,99,297
Stroke 2,149,342
Stroke 3,231,195
Stroke 3,125,309
Stroke 3,206,308
Stroke 3,257,348
Stroke 4,239,41
Stroke 4,124,189
Stroke 4,210,154
Stroke 4,259,196
Stroke 5,277,105
Stroke 5,259,277
Stroke 5,346,209
Stroke 5,622,213
Stroke 6,303,8
Stroke 6,469,14
Stroke 6,374,79
Stroke 6,372,373
Stroke 7,553,150
Stroke 7,437,272
Stroke 7,522,265
Stroke 7,572,310
Stroke 8,570,8
Stroke 8,736,14
Stroke 8,638,85
Stroke 8,635,373
