label,x,y
Stroke 1,34,201
Stroke 1,16,368
Stroke 1,95,300
Stroke 1,348,303
Stroke 2,41,8
Stroke 2,22,162
Stroke 2,99,93
Stroke 2,343,98
Stroke 3,122,201
Stroke 3,107,285
Stroke 3,151,246
Stroke 3,349,246
Stroke 4,118,113
Stroke 4,122,201
Stroke 4,157,174
Stroke 4,348,170
Stroke 5,291,7
Stroke 5,476,8
Stroke 5,367,79
Stroke 5,362,362
Stroke 6,407,86
Stroke 6,514,111
Stroke 6,466,151
Stroke 6,465,362
Stroke 7,626,99
Stroke 7,514,111
Stroke 7,549,148
Stroke 7,545,163
Stroke 8,507,155
Stroke 8,610,161
Stroke 8,552,198
Stroke 8,548,366
Stroke 9,578,7
Stroke 9,777,14
Stroke 9,665,85
Stroke 9,661,374
