label,x,y
Stroke 1,47,8
Stroke 1,22,150
Stroke 1,99,77
Stroke 1,271,80
Stroke 2,34,188
Stroke 2,16,362
Stroke 2,107,290
Stroke 2,418,297
Stroke 3,384,24
Stroke 3,279,80
Stroke 3,340,96
Stroke 3,374,164
Stroke 4,414,10
Stroke 4,439,124
Stroke 4,481,93
Stroke 4,703,93
Stroke 5,439,124
Stroke 5,438,195
Stroke 5,489,167
Stroke 5,708,168
Stroke 6,438,195
Stroke 6,433,272
Stroke 6,490,235
Stroke 6,708,234
Stroke 7,433,272
Stroke 7,406,374
Stroke 7,491,317
Stroke 7,708,315
Stroke 8,821,0
Stroke 8,669,3
Stroke 8,726,65
Stroke 8,721,366
Stroke 9,873,163
Stroke 9,752,295
Stroke 9,842,292
Stroke 9,896,336
Stroke 10,863,4
Stroke 10,1023,8
Stroke 10,925,72
Stroke 10,921,368
