label,x,y
Stroke 1,38,215
Stroke 1,15,368
Stroke 1,100,301
Stroke 1,379,304
Stroke 2,87,16
Stroke 2,73,181
Stroke 2,150,107
Stroke 2,374,118
Stroke 3,323,9
Stroke 3,457,40
Stroke 3,394,90
Stroke 3,394,379
Stroke 4,515,257
Stroke 4,412,368
Stroke 4,494,366
Stroke 4,546,406
Stroke 5,426,14
Stroke 5,590,21
Stroke 5,497,83
Stroke 5,488,278
Stroke 6,653,29
Stroke 6,540,149
Stroke 6,619,143
Stroke 6,669,187
Stroke 7,723,182
Stroke 7,609,303
Stroke 7,689,299
Stroke 7,739,341
Stroke 8,776,41
Stroke 8,667,151
Stroke 8,746,147
Stroke 8,795,187
Stroke 9,860,183
Stroke 9,745,304
Stroke 9,827,299
Stroke 9,879,342
Stroke 10,904,28
Stroke 10,790,150
Stroke 10,872,145
Stroke 10,921,187
Stroke 11,937,194
Stroke 11,1099,206
Stroke 11,1001,262
Stroke 11,998,374
Stroke 12,948,22
Stroke 12,1102,36
Stroke 12,1011,101
Stroke 12,1009,208
Stroke 13,1123,131
Stroke 13,1109,296
Stroke 13,1178,228
Stroke 13,1410,238
Stroke 14,1262,40
Stroke 14,1179,138
Stroke 14,1262,127
Stroke 14,1410,238
