label,x,y
Stroke 1,29,110
Stroke 1,15,259
Stroke 1,85,197
Stroke 1,315,202
Stroke 2,220,73
Stroke 2,130,181
Stroke 2,194,171
Stroke 2,229,198
Stroke 3,296,8
Stroke 3,436,20
Stroke 3,354,77
Stroke 3,353,247
Stroke 4,380,227
Stroke 4,289,330
Stroke 4,357,323
Stroke 4,399,363
Stroke 5,468,155
Stroke 5,380,227
Stroke 5,449,225
Stroke 5,477,252
Stroke 6,450,105
Stroke 6,544,121
Stroke 6,497,155
Stroke 6,489,354
Stroke 7,578,117
Stroke 7,552,227
Stroke 7,617,169
Stroke 7,846,169
Stroke 8,571,4
Stroke 8,578,117
Stroke 8,624,81
Stroke 8,845,80
Stroke 9,660,104
Stroke 9,762,112
Stroke 9,701,159
Stroke 9,701,349
Stroke 10,813,3
Stroke 10,947,7
Stroke 10,865,50
Stroke 10,845,80
Stroke 11,807,104
Stroke 11,948,112
Stroke 11,867,167
Stroke 11,864,375
