label,x,y
Stroke 1,131,47
Stroke 1,16,168
Stroke 1,102,163
Stroke 1,150,202
Stroke 2,143,215
Stroke 2,28,336
Stroke 2,109,332
Stroke 2,162,373
Stroke 3,271,213
Stroke 3,157,334
Stroke 3,239,330
Stroke 3,290,369
Stroke 4,272,54
Stroke 4,163,170
Stroke 4,246,168
Stroke 4,297,209
Stroke 5,312,0
Stroke 5,296,138
Stroke 5,380,71
Stroke 5,645,79
Stroke 6,386,105
Stroke 6,464,117
Stroke 6,426,145
Stroke 6,427,345
Stroke 7,464,117
Stroke 7,522,119
Stroke 7,492,150
Stroke 7,492,349
Stroke 8,618,110
Stroke 8,522,119
Stroke 8,551,150
Stroke 8,553,354
Stroke 9,604,8
Stroke 9,771,20
Stroke 9,675,90
Stroke 9,670,374
