label,x,y
Stroke 1,53,175
Stroke 1,15,322
Stroke 1,106,243
Stroke 1,388,246
Stroke 2,34,27
Stroke 2,53,175
Stroke 2,111,136
Stroke 2,400,132
Stroke 3,176,156
Stroke 3,272,188
Stroke 3,232,219
Stroke 3,232,310
Stroke 4,246,169
Stroke 4,369,170
Stroke 4,288,222
Stroke 4,284,311
Stroke 5,485,181
Stroke 5,502,329
Stroke 5,399,248
Stroke 5,205,239
Stroke 6,511,45
Stroke 6,511,220
Stroke 6,411,133
Stroke 6,189,146
Stroke 7,518,0
Stroke 7,684,4
Stroke 7,593,60
Stroke 7,588,374
