label,x,y
Stroke 1,33,60
Stroke 1,16,227
Stroke 1,96,161
Stroke 1,195,163
Stroke 2,162,196
Stroke 2,143,368
Stroke 2,228,295
Stroke 2,509,303
Stroke 3,176,0
Stroke 3,150,125
Stroke 3,231,60
Stroke 3,508,66
Stroke 4,477,3
Stroke 4,630,8
Stroke 4,532,67
Stroke 4,527,355
Stroke 5,642,169
Stroke 5,559,252
Stroke 5,622,249
Stroke 5,662,280
Stroke 6,636,61
Stroke 6,560,138
Stroke 6,623,136
Stroke 6,663,164
Stroke 7,776,48
Stroke 7,636,61
Stroke 7,699,105
Stroke 7,695,354
Stroke 8,752,0
Stroke 8,924,4
Stroke 8,828,61
Stroke 8,823,355
