label,x,y
Stroke 1,21,253
Stroke 1,100,271
Stroke 1,64,305
Stroke 1,59,375
Stroke 2,23,142
Stroke 2,106,157
Stroke 2,69,188
Stroke 2,66,264
Stroke 3,28,29
Stroke 3,113,47
Stroke 3,73,76
Stroke 3,69,145
Stroke 4,171,271
Stroke 4,100,271
Stroke 4,130,301
Stroke 4,125,374
Stroke 5,106,157
Stroke 5,171,157
Stroke 5,135,190
Stroke 5,131,259
Stroke 6,171,47
Stroke 6,113,47
Stroke 6,139,74
Stroke 6,134,143
Stroke 7,255,264
Stroke 7,171,271
Stroke 7,191,302
Stroke 7,184,375
Stroke 8,260,150
Stroke 8,171,157
Stroke 8,193,192
Stroke 8,190,258
Stroke 9,261,40
Stroke 9,171,47
Stroke 9,198,77
Stroke 9,192,143
