label,x,y
Stroke 1,74,95
Stroke 1,111,107
Stroke 1,74,111
Stroke 1,84,108
Stroke 2,75,117
Stroke 2,72,132
Stroke 2,111,121
Stroke 2,84,122
Stroke 3,112,91
Stroke 3,113,111
Stroke 3,123,105
Stroke 3,165,103
Stroke 4,109,143
Stroke 4,115,118
Stroke 4,125,132
Stroke 4,165,137
Stroke 5,130,132
Stroke 5,134,120
Stroke 5,140,125
Stroke 5,167,125
Stroke 6,134,106
Stroke 6,133,115
Stroke 6,140,115
Stroke 6,166,116
Stroke 7,158,91
Stroke 7,184,94
Stroke 7,169,105
Stroke 7,168,148
