hex,NotoSansCuneiform-Regular,Santakku,SantakkuM,Esagil,CuneiformOB,CuneiformNA,Assurbanipal,CuneiformComposite,name
0x12000,True,True,True,True,True,True,True,True,A
0x12001,True,False,False,True,True,True,True,True,A TIMES A
0x12002,True,False,False,True,True,True,True,True,A TIMES BAD
0x12003,True,False,False,True,True,False,True,True,
0x12004,True,False,False,True,True,False,True,True,A TIMES HA
0x12005,True,False,False,True,True,True,True,True,A TIMES IGI
0x12006,True,False,False,True,True,False,True,True,A TIMES LAGAR GUNU
0x12007,True,False,False,True,True,False,True,True,A TIMES MUSH
0x12008,True,False,False,True,True,False,True,True,A TIMES SAG
0x12009,True,True,True,True,True,True,True,True,A2
0x1200a,True,True,True,True,True,True,True,True,AB
0x1200b,True,False,False,True,True,False,True,True,AB TIMES ASH2
0x1200c,True,False,False,True,True,False,True,True,AB TIMES DUN3 GUNU
0x1200d,True,False,False,True,True,False,True,True,AB TIMES GAL
0x1200e,True,False,False,True,True,False,True,True,AB TIMES GAN2 TENU
0x1200f,True,True,False,True,True,True,True,True,AB TIMES HA
0x12010,True,False,False,True,True,True,True,True,AB TIMES IGI GUNU
0x12011,True,False,False,True,True,False,True,True,AB TIMES IMIN
0x12012,True,False,False,True,True,False,True,True,AB TIMES LAGAB
0x12013,True,False,False,True,True,False,True,True,AB TIMES SHESH
0x12014,True,True,True,True,True,True,True,True,AB TIMES U PLUS U PLUS U
0x12015,True,True,True,True,True,True,True,True,AB GUNU
0x12016,True,True,True,True,True,True,True,True,AB2
0x12017,True,False,False,True,True,True,True,True,AB2 TIMES BALAG
0x12018,True,False,False,True,True,False,True,True,AB2 TIMES GAN2 TENU
0x12019,True,False,False,True,True,True,True,True,AB2 TIMES ME PLUS EN
0x1201a,True,False,False,True,True,True,True,True,AB2 TIMES SHA3
0x1201b,True,False,False,True,True,False,True,True,AB2 TIMES TAK4
0x1201c,True,True,True,True,True,True,True,True,AD
0x1201d,True,True,True,True,True,True,True,True,AK
0x1201e,True,False,False,True,True,True,True,True,AK TIMES ERIN2
0x1201f,True,False,False,True,True,False,True,True,AK TIMES SHITA PLUS GISH
0x12020,True,True,True,True,True,True,True,True,AL
0x12021,True,False,False,True,True,False,True,True,AL TIMES AL
0x12022,True,False,False,True,True,False,True,True,AL TIMES DIM2
0x12023,True,False,False,True,True,False,True,True,AL TIMES GISH
0x12024,True,False,False,True,True,False,True,True,AL TIMES HA
0x12025,True,False,False,True,True,False,True,True,AL TIMES KAD3
0x12026,True,False,False,True,True,False,True,True,AL TIMES KI
0x12027,True,False,False,True,True,False,True,True,AL TIMES SHE
0x12028,True,False,False,True,True,False,True,True,AL TIMES USH
0x12029,True,True,True,True,True,True,True,True,ALAN
0x1202a,True,True,False,True,True,True,True,True,ALEPH
0x1202b,True,True,True,True,True,True,True,True,AMAR
0x1202c,True,True,False,True,True,True,True,True,AMAR TIMES SHE
0x1202d,True,True,True,True,True,True,True,True,AN
0x1202e,True,False,False,True,True,True,True,True,AN OVER AN
0x1202f,True,True,False,True,True,True,True,True,AN THREE TIMES
0x12030,True,False,False,True,True,False,True,True,AN PLUS NAGA OPPOSING AN PLUS NAGA
0x12031,True,False,False,True,True,False,True,True,AN PLUS NAGA SQUARED
0x12032,True,True,True,True,True,True,True,True,ANSHE
0x12033,True,True,True,True,True,True,True,True,APIN
0x12034,True,True,True,True,True,True,True,True,ARAD
0x12035,True,False,False,True,True,True,True,True,ARAD TIMES KUR
0x12036,True,False,False,True,True,False,True,True,
0x12037,True,False,False,True,True,False,True,True,ASAL2
0x12038,True,True,True,True,True,True,True,True,ASH
0x12039,True,True,False,True,True,False,True,True,ASH ZIDA TENU
0x1203a,True,False,False,True,True,False,True,True,ASH KABA TENU
0x1203b,True,False,False,True,True,False,True,True,ASH OVER ASH TUG2 OVER TUG2 TUG2 OVER TUG2 PAP
0x1203c,True,False,False,True,True,False,True,True,CUNEIFORM SIGN ASH OVER ASH OVER ASH & TAB
0x1203d,True,False,False,True,True,False,True,True,ASH OVER ASH OVER ASH CROSSING ASH OVER ASH OVER ASH
0x1203e,True,True,True,True,True,True,True,True,ASH2
0x1203f,True,True,True,True,True,True,True,True,ASHGAB
0x12040,True,True,True,True,True,True,True,True,BA
0x12041,True,True,True,True,True,True,True,True,BAD
0x12042,True,False,False,True,True,False,True,True,
0x12043,True,False,False,True,True,True,True,True,
0x12044,True,True,True,True,True,True,True,True,BAL
0x12045,True,False,False,True,True,False,True,True,
0x12046,True,True,False,True,True,True,True,True,BALAG
0x12047,True,True,True,True,True,True,True,True,BAR
0x12048,True,True,False,True,True,True,True,True,BARA2
0x12049,True,True,True,True,True,True,True,True,BI
0x1204a,True,False,False,True,True,False,True,True,BI TIMES A
0x1204b,True,False,False,True,True,False,True,True,BI TIMES GAR
0x1204c,True,False,False,True,True,False,True,True,BI TIMES IGI GUNU
0x1204d,True,True,True,True,True,True,True,True,BU
0x1204e,True,False,False,True,True,False,True,True,BU OVER BU AB
0x1204f,True,False,False,True,True,False,True,True,
0x12050,True,False,False,True,True,False,True,True,BU CROSSING BU
0x12051,True,False,False,True,True,True,True,True,BULUG OVER BULUG
0x12052,True,False,False,True,True,False,True,True,
