font,codepoint,name,in_font_per_metadata
Assurbanipal,0x12003,,True
Assurbanipal,0x12025,AL TIMES KAD3,True
Assurbanipal,0x12030,AN PLUS NAGA OPPOSING AN PLUS NAGA,True
Assurbanipal,0x12031,AN PLUS NAGA SQUARED,True
Assurbanipal,0x12036,,True
Assurbanipal,0x12037,ASAL2,True
Assurbanipal,0x1203b,ASH OVER ASH TUG2 OVER TUG2 TUG2 OVER TUG2 PAP,True
Assurbanipal,0x12042,,True
Assurbanipal,0x12043,,True
Assurbanipal,0x12045,,True
Assurbanipal,0x1204a,BI TIMES A,True
Assurbanipal,0x1204f,,True
Assurbanipal,0x1205c,,True
Assurbanipal,0x12078,CUNEIFORM SIGN DIN KASKAL U GUNU DISH,True
Assurbanipal,0x1207f,,True
Assurbanipal,0x1208b,E TIMES PAP,True
Assurbanipal,0x1208c,E OVER E NUN OVER NUN,True
Assurbanipal,0x1208f,E2 TIMES GAR,True
Assurbanipal,0x12090,E2 TIMES MI,True
Assurbanipal,0x12091,E2 TIMES SAL,True
Assurbanipal,0x12092,E2 TIMES SCHE(standard),True
Assurbanipal,0x12093,,True
Assurbanipal,0x1209a,EN TIMES ME,True
Assurbanipal,0x1209b,EN CROSSING EN,True
Assurbanipal,0x1209c,,True
Assurbanipal,0x1209d,EN SQUARED,True
Assurbanipal,0x120a8,,True
Assurbanipal,0x120aa,,True
Assurbanipal,0x120b9,,True
Assurbanipal,0x120bb,,True
Assurbanipal,0x120c0,,True
Assurbanipal,0x120c1,,True
Assurbanipal,0x120c7,,True
Assurbanipal,0x120cf,,True
Assurbanipal,0x120d2,,True
Assurbanipal,0x120da,,True
Assurbanipal,0x120dd,,True
Assurbanipal,0x120ec,,True
Assurbanipal,0x120ed,,True
Assurbanipal,0x120ef,,True
Assurbanipal,0x120f3,GAL GAD OVER GAD GAR OVER GAR,True
Assurbanipal,0x120fa,GAN2 CROSSING GAN2,True
Assurbanipal,0x12101,GI TIMES E,True
Assurbanipal,0x12102,,True
Assurbanipal,0x12106,GI4 CROSSING GI4,True
Assurbanipal,0x1210d,GIR3 TIMES IGI,True
Assurbanipal,0x1210f,GIR3 TIMES PA,True
Assurbanipal,0x12114,,True
Assurbanipal,0x1211a,,True
Assurbanipal,0x1211c,,True
Assurbanipal,0x12128,GURUSH,True
Assurbanipal,0x12139,,True
Assurbanipal,0x1213a,,True
Assurbanipal,0x1213b,,True
Assurbanipal,0x1213c,,True
Assurbanipal,0x12144,,True
Assurbanipal,0x12149,IGI OVER IGI SHIR OVER SHIR UD OVER UD,True
Assurbanipal,0x12151,,True
Assurbanipal,0x12152,IM SQUARED,True
Assurbanipal,0x12159,,True
Assurbanipal,0x1215f,,True
Assurbanipal,0x12163,,True
Assurbanipal,0x12167,,True
Assurbanipal,0x12169,,True
Assurbanipal,0x1216f,KA TIMES KAK,True
Assurbanipal,0x12171,,True
Assurbanipal,0x12173,,True
Assurbanipal,0x12175,KA TIMES ME PLUS DU,True
Assurbanipal,0x12176,KA TIMES ME PLUS GI,True
Assurbanipal,0x12177,KA TIMES ME PLUS TE,True
Assurbanipal,0x12179,,True
Assurbanipal,0x12185,,True
Assurbanipal,0x12186,,True
Assurbanipal,0x1218a,,True
Assurbanipal,0x1218c,,True
Assurbanipal,0x1218e,,True
Assurbanipal,0x12194,,True
Assurbanipal,0x12196,,True
Assurbanipal,0x12199,KAL CROSSING KAL,True
Assurbanipal,0x121ab,KU OVER HI TIMES ASH2 KU OVER HI TIMES ASH2,True
Assurbanipal,0x121ae,,True
Assurbanipal,0x121b1,KUL GUNU,True
Assurbanipal,0x121b4,KUR OPPOSING KUR,True
Assurbanipal,0x121b6,,True
Assurbanipal,0x121cd,,True
Assurbanipal,0x121ce,,True
Assurbanipal,0x121d4,LAGAB TIMES LAGAB,True
Assurbanipal,0x121dd,LAGAB TIMES SHITA PLUS GISH PLUS ERIN2,True
Assurbanipal,0x121e2,,True
Assurbanipal,0x121f1,,True
Assurbanipal,0x121f6,,True
Assurbanipal,0x12200,LU2 TIMES ESH2,True
Assurbanipal,0x12201,LU2 TIMES ESH2 TENU,True
Assurbanipal,0x12206,LU2 TIMES KAD3,True
Assurbanipal,0x12207,,True
Assurbanipal,0x12209,,True
Assurbanipal,0x1220b,LU2 TIMES ME PLUS EN,True
Assurbanipal,0x1220d,,True
Assurbanipal,0x1220e,,True
Assurbanipal,0x12212,LU2 CROSSING LU2,True
Assurbanipal,0x12214,LU2 SQUARED,True
Assurbanipal,0x12218,LUGAL OVER LUGAL,True
Assurbanipal,0x12221,,True
Assurbanipal,0x12233,,True
Assurbanipal,0x12234,,True
Assurbanipal,0x12235,,True
Assurbanipal,0x12237,MUSH OVER MUSH TIMES A PLUS NA,True
Assurbanipal,0x12238,MUSH CROSSING MUSH,True
Assurbanipal,0x1223c,,True
Assurbanipal,0x12245,,True
