font,codepoint,name,confidence,n_wedges,doubtful_wedges,accept,notes
Assurbanipal,0x122df,SIG4 OVER SIG4 SHU2,0.0,21,12,,rejected in round 1; re-predicted by the retrained model in round 2
Assurbanipal,0x120ad,EZEN TIMES KASKAL SQUARED,0.0018,16,10,,
Assurbanipal,0x12066,DAG KISIM5 TIMES LU PLUS MASH2,0.0002,23,9,,
Assurbanipal,0x122ce,SHIM TIMES KUSHU2,0.0002,15,7,,
Assurbanipal,0x12065,DAG KISIM5 TIMES LU,0.0001,17,6,,
Assurbanipal,0x12067,DAG KISIM5 TIMES LUM,0.0015,18,6,,
Assurbanipal,0x122cd,SHIM TIMES IGI GUNU,0.0,17,6,,
Assurbanipal,0x12017,AB2 TIMES BALAG,0.0003,12,5,,
Assurbanipal,0x12057,DAG KISIM5 TIMES A PLUS MASH,0.0002,15,5,,
Assurbanipal,0x12069,DAG KISIM5 TIMES PAP PLUS PAP,0.0,15,5,,
Assurbanipal,0x1215d,KA TIMES BALAG,0.0,20,5,,rejected in round 1; re-predicted by the retrained model in round 2
Assurbanipal,0x121d0,LAGAB TIMES KIN,0.0,13,5,,
Assurbanipal,0x121d3,LAGAB TIMES KUL PLUS HI PLUS A,0.0009,15,5,,
Assurbanipal,0x121eb,LAGAB SQUARED,0.0001,8,5,,
Assurbanipal,0x12203,LU2 TIMES HI TIMES BAD,0.0013,17,5,,
Assurbanipal,0x12251,NIM TIMES GAR PLUS GAN2 TENU,0.0,16,5,,
Assurbanipal,0x12267,NUN LAGAR TIMES SAL OVER NUN LAGAR TIMES SAL,0.0,25,5,,
Assurbanipal,0x12068,DAG KISIM5 TIMES NE,0.0011,20,4,,
Assurbanipal,0x120c5,GA2 TIMES DIM TIMES SHE,0.0,13,4,,
Assurbanipal,0x12117,GU CROSSING GU,0.0001,10,4,,rejected in round 1; re-predicted by the retrained model in round 2
Assurbanipal,0x1219e,KASKAL OVER KASKAL LAGAB TIMES U OVER LAGAB TIMES U,0.003,18,4,,rejected in round 1; re-predicted by the retrained model in round 2
Assurbanipal,0x121cb,LAGAB TIMES IGI GUNU,0.0007,10,4,,
Assurbanipal,0x121d7,LAGAB TIMES LUL,0.0045,11,4,,
Assurbanipal,0x121e4,LAGAB TIMES TE PLUS A PLUS SU PLUS NA,0.0043,21,4,,
Assurbanipal,0x12208,LU2 TIMES KI,0.0031,17,4,,
Assurbanipal,0x12213,LU2 OPPOSING LU2,0.0,15,4,,
Assurbanipal,0x1223b,MUSH3 TIMES A PLUS DI,0.0027,14,4,,
Assurbanipal,0x122c9,SHIM TIMES BULUG,0.0003,15,4,,
Assurbanipal,0x122d1,SHIM TIMES SAL,0.0001,13,4,,
Assurbanipal,0x122f2,TAB SQUARED,0.0,5,4,,
Assurbanipal,0x12304,TIR OVER TIR GAD OVER GAD GAR OVER GAR,0.0028,40,4,,rejected in round 1; re-predicted by the retrained model in round 2
Assurbanipal,0x12314,UD KUSHU2,0.0,9,4,,
Assurbanipal,0x12353,USH TIMES KU,0.0,12,4,,
Assurbanipal,0x1235f,ZA SQUARED TIMES KUR,0.0001,11,4,,
Assurbanipal,0x12387,KA TIMES UR2,0.0001,14,4,,
Assurbanipal,0x1238d,,0.0,10,4,,
Assurbanipal,0x12006,A TIMES LAGAR GUNU,0.004,10,3,,
Assurbanipal,0x1200c,AB TIMES DUN3 GUNU,0.0001,14,3,,
Assurbanipal,0x12010,AB TIMES IGI GUNU,0.0,15,3,,
Assurbanipal,0x12022,AL TIMES DIM2,0.0002,13,3,,
Assurbanipal,0x12027,AL TIMES SHE,0.0,10,3,,
Assurbanipal,0x12035,ARAD TIMES KUR,0.0,8,3,,
Assurbanipal,0x1205d,DAG KISIM5 TIMES GI,0.0001,18,3,,
Assurbanipal,0x12071,DARA4,0.0025,13,3,,
Assurbanipal,0x12080,DUB2,0.0002,14,3,,
Assurbanipal,0x120b6,GA GUNU,0.004,12,3,,
Assurbanipal,0x120cb,GA2 TIMES GAN2 TENU,0.0006,11,3,,
Assurbanipal,0x120d6,GA2 TIMES IGI GUNU,0.0,13,3,,
