font,codepoint,name,confidence,n_wedges,doubtful_wedges,accept,notes
Assurbanipal,0x120ad,EZEN TIMES KASKAL SQUARED,0.0018,16,10,,
Assurbanipal,0x12066,DAG KISIM5 TIMES LU PLUS MASH2,0.0002,23,9,,
Assurbanipal,0x12065,DAG KISIM5 TIMES LU,0.0001,17,6,,
Assurbanipal,0x12057,DAG KISIM5 TIMES A PLUS MASH,0.0002,15,5,,
Assurbanipal,0x121d0,LAGAB TIMES KIN,0.0,13,5,,
Assurbanipal,0x12251,NIM TIMES GAR PLUS GAN2 TENU,0.0,16,5,,
Assurbanipal,0x12068,DAG KISIM5 TIMES NE,0.0011,20,4,,
Assurbanipal,0x1219e,KASKAL OVER KASKAL LAGAB TIMES U OVER LAGAB TIMES U,0.003,18,4,,
Assurbanipal,0x1200c,AB TIMES DUN3 GUNU,0.0001,14,3,,
Assurbanipal,0x1205d,DAG KISIM5 TIMES GI,0.0001,18,3,,
Assurbanipal,0x120cb,GA2 TIMES GAN2 TENU,0.0006,11,3,,
Assurbanipal,0x122cb,SHIM TIMES GAR,0.0004,13,3,,
Assurbanipal,0x1204e,BU OVER BU AB,0.0,15,2,,
Assurbanipal,0x1206c,DAG KISIM5 TIMES U2 PLUS GIR2,0.0001,24,2,,
Assurbanipal,0x1237c,,0.0002,16,2,,
Assurbanipal,0x1205e,DAG KISIM5 TIMES GIR2,0.0007,17,1,,
Assurbanipal,0x120db,GA2 TIMES KID PLUS LAL,0.0,12,1,,
Assurbanipal,0x12107,GIDIM,0.0,12,1,,
Assurbanipal,0x1231c,UDUG,0.0006,13,1,,
Assurbanipal,0x1238f,,0.0,8,1,,
Assurbanipal,0x12064,DAG KISIM5 TIMES LA,0.0114,16,2,,
Assurbanipal,0x120e0,GA2 TIMES NUN,0.0193,10,2,,
Assurbanipal,0x121cc,LAGAB TIMES IM,0.0228,11,2,,
Assurbanipal,0x1207d,DU SHESHIG,0.0152,9,1,,
Assurbanipal,0x1216e,KA TIMES IM,0.05,14,2,,
Assurbanipal,0x12352,USH TIMES A,0.05,9,2,,
Assurbanipal,0x12054,BUR2,0.0542,8,1,,
Assurbanipal,0x12098,EN TIMES GAN2,0.05,11,1,,
Assurbanipal,0x121d5,LAGAB TIMES LISH,0.05,6,1,,
Assurbanipal,0x12103,GI CROSSING GI,0.0554,14,1,,
Assurbanipal,0x12204,LU2 TIMES IM,0.1136,17,1,,
Assurbanipal,0x1225c,NINDA2 TIMES SHE PLUS ASH,0.1376,10,1,,
Assurbanipal,0x12300,TIL,0.2816,2,1,,
Assurbanipal,0x12299,SAG TIMES HA,0.3099,12,0,,
Assurbanipal,0x121c6,LAGAB TIMES GUD,0.3576,9,0,,
Assurbanipal,0x122c2,SHESHLAM,0.3817,6,0,,
Assurbanipal,0x12184,KA TIMES SIG,0.4153,11,0,,
Assurbanipal,0x12131,HI TIMES DISH,0.4844,5,0,,
Assurbanipal,0x12378,,0.498,13,0,,
Assurbanipal,0x12178,KA TIMES MI,0.5375,12,0,,
Assurbanipal,0x12193,KAD5,0.537,13,0,,
Assurbanipal,0x121cf,LAGAB TIMES KI,0.6384,11,0,,
Assurbanipal,0x121d1,LAGAB TIMES KU3,0.6442,9,0,,
Assurbanipal,0x122e8,SUMASH,0.6809,10,0,,
Assurbanipal,0x1203c,CUNEIFORM SIGN ASH OVER ASH OVER ASH & TAB,0.6988,3,0,,
Assurbanipal,0x12076,DIM2,0.7272,7,0,,
Assurbanipal,0x12365,ZI3,0.7635,6,0,,
Assurbanipal,0x120d8,GA2 TIMES KAK,0.8444,8,0,,
