font,codepoint,name,confidence,n_wedges,doubtful_wedges,accept,notes
Esagil,0x1223b,MUSH3 TIMES A PLUS DI,0.0,14,3,,
Esagil,0x1230c,U GUD,0.0,6,3,,
Esagil,0x12032,ANSHE,0.0001,9,2,,
Esagil,0x12044,BAL,0.0001,6,2,,
Esagil,0x120f8,GAN2 TENU,0.0001,6,2,,
Esagil,0x12118,GU2 & UN,0.0012,7,2,,
Esagil,0x121b0,KUL,0.0002,4,2,,
Esagil,0x122fe,TI TENU,0.0,5,2,,
Esagil,0x1211e,GUD,0.0029,5,1,,
Esagil,0x12351,USH,0.0048,6,1,,
Esagil,0x1235e,ZA TENU,0.0,4,1,,
Esagil,0x12072,DI,0.0134,6,2,,
Esagil,0x12161,KA TIMES ESH2,0.05,13,3,,
Esagil,0x12165,KA TIMES GAR,0.05,10,2,,
Esagil,0x121a5,KIN,0.05,8,1,,
Esagil,0x12471,,0.0722,2,1,,
Esagil,0x1237d,SIGN HUSH,0.18,9,1,,
Esagil,0x12082,DUGUD,0.1998,6,1,,
Esagil,0x1224b,NE SHESHIG,0.2934,11,1,,
Esagil,0x1203f,ASHGAB,0.4161,6,0,,
Esagil,0x12140,I A,0.5761,8,0,,
Esagil,0x122ae,SHA3,0.5856,6,0,,
Esagil,0x1209f,ERIN2,0.61,4,0,,
Esagil,0x12075,DIM TIMES SHE,0.6179,8,0,,
Esagil,0x12368,ZIG,0.6275,8,0,,
Esagil,0x1212c,HAL,0.6741,3,0,,
Esagil,0x1243b,,0.6893,3,0,,
Esagil,0x121f2,LAL,0.6976,2,0,,
Esagil,0x1243a,,0.713,3,0,,
Esagil,0x1202a,ALEPH,0.719,6,0,,
Esagil,0x1202d,AN,0.7531,3,0,,
Esagil,0x12117,GU CROSSING GU,0.7513,10,0,,
Esagil,0x12403,,0.7538,5,0,,
Esagil,0x1245a,,0.7607,3,0,,
Esagil,0x12115,GISH TENU,0.7691,2,0,,
Esagil,0x12259,NINDA2 TIMES NUN,0.7694,10,0,,
Esagil,0x1227d,PAP & E,0.7837,2,0,,
Esagil,0x120f5,GAM,0.7934,2,0,,
Esagil,0x121b7,LA,0.7896,6,0,,
Esagil,0x12039,ASH ZIDA TENU,0.8093,1,0,,
Esagil,0x12456,,0.8114,2,0,,
Esagil,0x12074,DIM,0.8167,5,0,,
Esagil,0x120fb,GAR,0.8259,3,0,,
Esagil,0x1245c,,0.8289,5,0,,
Esagil,0x121c5,LAGAB TIMES GAR,0.8389,7,0,,
Esagil,0x12311,U2,0.8431,5,0,,
Esagil,0x120f2,GAL,0.8575,6,0,,
Esagil,0x122d6,SHITA & GISH,0.8884,5,0,,
