font,codepoint,name,source,n_wedges,confidence,doubtful_wedges,mean_wedge_confidence,rare_orientation_wedges,off_ink_tails,clamped_wedges,scale,in_font_per_metadata
Assurbanipal,0x1216c,KA TIMES GUR7,model,28,0.0001,13,0.3094,0,5,0,1.0,True
Assurbanipal,0x122df,SIG4 OVER SIG4 SHU2,model,20,0.0002,13,0.1713,3,2,0,1.0,True
Assurbanipal,0x1221f,LUM OVER LUM GAR OVER GAR,model,21,0.0002,11,0.2992,0,2,0,1.0,True
Assurbanipal,0x1220f,LU2 TIMES SIK2 PLUS BU,model,25,0.0004,10,0.3972,0,2,0,1.0,True
Assurbanipal,0x120d1,GA2 TIMES HA PLUS LU PLUS ESH2,model,23,0.0004,9,0.3905,0,2,0,1.0,True
Assurbanipal,0x1226e,NUNUZ AB2 TIMES ASHGAB,model,18,0.0001,9,0.3781,1,0,0,1.0,True
Assurbanipal,0x12275,NUNUZ AB2 TIMES NE,model,21,0.0007,9,0.4074,0,2,0,1.0,True
Assurbanipal,0x122bc,SHE OVER SHE GAD OVER GAD GAR OVER GAR,model,22,0.0027,9,0.3665,0,0,0,1.0,True
Assurbanipal,0x12304,TIR OVER TIR GAD OVER GAD GAR OVER GAR,model,40,0.0027,9,0.4743,0,1,0,1.0,True
Assurbanipal,0x1215d,KA TIMES BALAG,model,19,0.0005,8,0.3609,0,3,0,1.0,True
Assurbanipal,0x1221e,LUM OVER LUM & SHU2,model,12,0.0001,8,0.1828,0,1,0,1.0,True
Assurbanipal,0x1226f,NUNUZ AB2 TIMES BI,model,15,0.0002,8,0.2909,2,1,0,1.0,True
Assurbanipal,0x12013,AB TIMES SHESH,model,18,0.0,7,0.3697,1,3,0,1.0,True
Assurbanipal,0x120ca,GA2 TIMES EN TIMES GAN2 TENU,model,17,0.0017,7,0.3867,1,2,0,1.0,True
Assurbanipal,0x12117,GU CROSSING GU,model,11,0.0003,7,0.2431,0,1,0,1.0,True
Assurbanipal,0x1219e,KASKAL OVER KASKAL LAGAB TIMES U OVER LAGAB TIMES U,model,18,0.0,7,0.3214,0,0,0,1.0,True
Assurbanipal,0x121dc,LAGAB TIMES SHE PLUS SUM,model,15,0.0031,7,0.3794,0,2,0,1.0,True
Assurbanipal,0x12230,MUNSUB,model,27,0.0023,7,0.4854,0,1,0,1.0,True
Assurbanipal,0x12236,MUSH OVER MUSH,model,18,0.0006,7,0.4198,0,0,0,1.0,True
Assurbanipal,0x12272,NUNUZ AB2 TIMES IGI GUNU,model,19,0.0005,7,0.3802,1,1,0,1.0,True
Assurbanipal,0x1235b,UZ3 TIMES KASKAL,model,12,0.0005,7,0.2985,0,0,0,1.0,True
Esagil,0x1214d,IL2,model,13,0.0002,7,0.3012,1,1,3,0.15625,True
Esagil,0x12274,NUNUZ AB2 TIMES LA,model,17,0.0003,7,0.3967,0,0,0,0.15598,True
Assurbanipal,0x12062,DAG KISIM5 TIMES IR PLUS LU,model,22,0.0013,6,0.4539,2,2,0,1.0,True
Assurbanipal,0x1206b,DAG KISIM5 TIMES TAK4,model,21,0.0002,6,0.4705,1,0,0,1.0,True
Assurbanipal,0x120c2,GA2 TIMES BUR PLUS RA,model,19,0.002,6,0.4644,1,4,0,1.0,True
Assurbanipal,0x12133,HI TIMES KIN,model,12,0.0031,6,0.3644,0,2,0,1.0,True
Assurbanipal,0x121ba,LAGAB TIMES A PLUS DA PLUS HA,model,18,0.0,6,0.4603,0,0,0,1.0,True
Assurbanipal,0x121f0,LAGAR GUNU OVER LAGAR GUNU SHE,model,18,0.0005,6,0.452,0,1,0,1.0,True
Assurbanipal,0x12211,LU2 TENU,model,11,0.0,6,0.2857,0,3,0,1.0,True
Assurbanipal,0x12273,NUNUZ AB2 TIMES KAD3,model,18,0.0,6,0.3777,1,0,0,1.0,True
Assurbanipal,0x12279,NUNUZ KISIM5 TIMES BI U,model,17,0.0,6,0.3586,2,1,0,1.0,True
Assurbanipal,0x122ea,SUR9,model,15,0.001,6,0.4128,1,1,0,1.0,True
Assurbanipal,0x1231f,UM TIMES ME PLUS DA,model,15,0.0,6,0.3745,1,2,2,1.0,True
Assurbanipal,0x12373,,model,17,0.0021,6,0.451,1,0,0,1.0,True
Esagil,0x120de,GA2 TIMES ME PLUS EN,model,12,0.0012,6,0.3286,0,0,0,0.15559,True
Esagil,0x12104,GI4,model,12,0.0001,6,0.3536,0,2,1,0.15672,True
Esagil,0x121f8,LIL,model,12,0.0025,6,0.3493,0,1,0,0.15691,True
Esagil,0x1226e,NUNUZ AB2 TIMES ASHGAB,model,17,0.0035,6,0.4508,0,1,1,0.15662,True
