font,codepoint,name,confidence,n_wedges,doubtful_wedges,accept,notes,source
Assurbanipal,0x1216c,KA TIMES GUR7,0.0001,28,13,y,,model
Assurbanipal,0x122df,SIG4 OVER SIG4 SHU2,0.0002,20,13,n,,model
Assurbanipal,0x1221f,LUM OVER LUM GAR OVER GAR,0.0002,21,11,y,,model
Assurbanipal,0x1220f,LU2 TIMES SIK2 PLUS BU,0.0004,25,10,y,,model
Assurbanipal,0x120d1,GA2 TIMES HA PLUS LU PLUS ESH2,0.0004,23,9,n,,model
Assurbanipal,0x1226e,NUNUZ AB2 TIMES ASHGAB,0.0001,18,9,y,,model
Assurbanipal,0x12275,NUNUZ AB2 TIMES NE,0.0007,21,9,y,,model
Assurbanipal,0x122bc,SHE OVER SHE GAD OVER GAD GAR OVER GAR,0.0027,22,9,y,,model
Assurbanipal,0x12304,TIR OVER TIR GAD OVER GAD GAR OVER GAR,0.0027,40,9,n,,model
Assurbanipal,0x1215d,KA TIMES BALAG,0.0005,19,8,n,,model
Assurbanipal,0x1221e,LUM OVER LUM & SHU2,0.0001,12,8,y,,model
Assurbanipal,0x1226f,NUNUZ AB2 TIMES BI,0.0002,15,8,y,,model
Assurbanipal,0x12013,AB TIMES SHESH,0.0,18,7,y,,model
Assurbanipal,0x120ca,GA2 TIMES EN TIMES GAN2 TENU,0.0017,17,7,y,,model
Assurbanipal,0x12117,GU CROSSING GU,0.0003,11,7,n,,model
Assurbanipal,0x1219e,KASKAL OVER KASKAL LAGAB TIMES U OVER LAGAB TIMES U,0.0,18,7,n,,model
Assurbanipal,0x121dc,LAGAB TIMES SHE PLUS SUM,0.0031,15,7,y,,model
Assurbanipal,0x12230,MUNSUB,0.0023,27,7,y,,model
Assurbanipal,0x12236,MUSH OVER MUSH,0.0006,18,7,y,,model
Assurbanipal,0x12272,NUNUZ AB2 TIMES IGI GUNU,0.0005,19,7,y,,model
Assurbanipal,0x1235b,UZ3 TIMES KASKAL,0.0005,12,7,y,,model
Esagil,0x1214d,IL2,0.0002,13,7,y,,model
Esagil,0x12274,NUNUZ AB2 TIMES LA,0.0003,17,7,y,most wedges work but intersection of wedges perpendicuarly left one tail much shorter than the rest,model
Assurbanipal,0x12062,DAG KISIM5 TIMES IR PLUS LU,0.0013,22,6,y,,model
Assurbanipal,0x1206b,DAG KISIM5 TIMES TAK4,0.0002,21,6,y,,model
Assurbanipal,0x120c2,GA2 TIMES BUR PLUS RA,0.002,19,6,y,,model
Assurbanipal,0x12133,HI TIMES KIN,0.0031,12,6,y,,model
Assurbanipal,0x121ba,LAGAB TIMES A PLUS DA PLUS HA,0.0,18,6,y,,model
Assurbanipal,0x121f0,LAGAR GUNU OVER LAGAR GUNU SHE,0.0005,18,6,y,,model
Assurbanipal,0x12211,LU2 TENU,0.0,11,6,y,,model
Assurbanipal,0x12273,NUNUZ AB2 TIMES KAD3,0.0,18,6,y,,model
Assurbanipal,0x12279,NUNUZ KISIM5 TIMES BI U,0.0,17,6,y,,model
Assurbanipal,0x122ea,SUR9,0.001,15,6,y,,model
Assurbanipal,0x1231f,UM TIMES ME PLUS DA,0.0,15,6,y,,model
Assurbanipal,0x12373,,0.0021,17,6,y,,model
Esagil,0x120de,GA2 TIMES ME PLUS EN,0.0012,12,6,y,same issue where one of the longer tails fail to extend accross the font,model
Esagil,0x12104,GI4,0.0001,12,6,y,two of the wedge tails are matched to the ends of other tails rather than following their tails in the font; corrected in editor,model
Esagil,0x121f8,LIL,0.0025,12,6,y,,model
Esagil,0x1226e,NUNUZ AB2 TIMES ASHGAB,0.0035,17,6,y,,model
Assurbanipal,0x12046,BALAG,0.0,14,5,y,,model
Assurbanipal,0x1204c,BI TIMES IGI GUNU,0.0007,10,5,y,,model
Assurbanipal,0x12059,DAG KISIM5 TIMES BALAG,0.0005,19,5,y,,model
Assurbanipal,0x1205a,DAG KISIM5 TIMES BI,0.0008,16,5,y,,model
Assurbanipal,0x12095,EGIR,0.0003,13,5,y,,model
Assurbanipal,0x120b1,EZEN TIMES LI,0.0001,19,5,y,,model
Assurbanipal,0x120c3,GA2 TIMES DA,0.0004,11,5,y,,model
Assurbanipal,0x120d0,GA2 TIMES GIR2 PLUS SU,0.0002,17,5,y,,model
Assurbanipal,0x120d7,GA2 TIMES ISH PLUS HU PLUS ASH,0.0001,15,5,y,,model
Assurbanipal,0x12126,GUR7,0.0001,21,5,y,,model
Assurbanipal,0x12172,KA TIMES LI,0.0004,16,5,y,,model
Assurbanipal,0x1219d,KASKAL LAGAB TIMES U OVER LAGAB TIMES U,0.0,14,5,y,,model
Assurbanipal,0x121e0,LAGAB TIMES SHU2 PLUS SHU2,0.0004,8,5,y,,model
Assurbanipal,0x12219,LUGAL OPPOSING LUGAL,0.0,19,5,y,,model
Assurbanipal,0x12241,NAGA INVERTED,0.001,6,5,y,,model
Assurbanipal,0x12243,NAGA OPPOSING NAGA,0.0004,15,5,,,model
Assurbanipal,0x12270,NUNUZ AB2 TIMES DUG,0.0022,18,5,,,model
Assurbanipal,0x12278,NUNUZ KISIM5 TIMES BI,0.0048,15,5,,,model
Assurbanipal,0x122aa,SAL LAGAB TIMES ASH2,0.0004,12,5,,,model
Assurbanipal,0x122c1,SHESH2 & SUHUR,0.002,18,5,,,model
Assurbanipal,0x122c7,SHIM TIMES A,0.0,12,5,,,model
Assurbanipal,0x122c8,SHIM TIMES BAL,0.0,16,5,,,model
Assurbanipal,0x122c9,SHIM TIMES BULUG,0.0,16,5,,,model
Assurbanipal,0x122ce,SHIM TIMES KUSHU2,0.0,15,5,,,model
Assurbanipal,0x122d1,SHIM TIMES SAL,0.0,13,5,,,model
Assurbanipal,0x122de,SIG4,0.0,11,5,,,model
Assurbanipal,0x1235f,ZA SQUARED TIMES KUR,0.0001,10,5,,,model
Assurbanipal,0x12383,,0.0,15,5,,,model
Assurbanipal,0x1238b,,0.0009,15,5,,,model
Esagil,0x12029,ALAN,0.0042,20,5,y,,model
Esagil,0x12054,BUR2,0.0007,10,5,y,,model
Esagil,0x120ab,EZEN TIMES IGI GUNU,0.0001,16,5,y,,model
Esagil,0x122d2,SHINIG,0.0044,14,5,y,,model
Assurbanipal,0x12017,AB2 TIMES BALAG,0.0011,11,4,,,model
Assurbanipal,0x12058,DAG KISIM5 TIMES AMAR,0.0044,14,4,,,model
Assurbanipal,0x1205d,DAG KISIM5 TIMES GI,0.001,18,4,,,model
Assurbanipal,0x1205e,DAG KISIM5 TIMES GIR2,0.0001,17,4,,,model
Assurbanipal,0x12069,DAG KISIM5 TIMES PAP PLUS PAP,0.0,15,4,,,model
Assurbanipal,0x120be,E2 TIMES A PLUS HA PLUS DA(sic!),0.0008,14,4,,,model
Assurbanipal,0x120d6,GA2 TIMES IGI GUNU,0.0008,12,4,,,model
Assurbanipal,0x12124,GUM TIMES SHE,0.0,9,4,,,model
Assurbanipal,0x1213e,HUL2,0.0001,9,4,,,model
Assurbanipal,0x12161,KA TIMES ESH2,0.0001,13,4,,,model
Assurbanipal,0x1216a,KA TIMES GISH CROSSING GISH,0.0001,13,4,,,model
Assurbanipal,0x121a3,KI TIMES UD,0.0003,10,4,,,model
Assurbanipal,0x121a9,KISIM5 OVER KISIM5,0.0008,8,4,,,model
Assurbanipal,0x121d9,LAGAB TIMES ME PLUS EN,0.0,11,4,,,model
Assurbanipal,0x121df,LAGAB TIMES SHU2,0.0001,6,4,,,model
Assurbanipal,0x121fe,LU2 TIMES AL,0.0009,16,4,,,model
Assurbanipal,0x1220a,LU2 TIMES LAGAB,0.0011,14,4,,,model
Assurbanipal,0x12210,LU2 TIMES TUG2,0.0005,16,4,,,model
Assurbanipal,0x1224b,NE SHESHIG,0.004,11,4,,,model
Assurbanipal,0x12251,NIM TIMES GAR PLUS GAN2 TENU,0.0044,14,4,,,model
Assurbanipal,0x12271,NUNUZ AB2 TIMES GUD,0.0016,16,4,,,model
Assurbanipal,0x122a4,SAG TIMES UM,0.0005,14,4,,,model
Assurbanipal,0x122be,SHEG9,0.0006,15,4,,,model
Assurbanipal,0x122cf,SHIM TIMES LUL,0.0001,16,4,,,model
Assurbanipal,0x1230a,TUR OVER TUR ZA OVER ZA,0.0036,19,4,,,model
Assurbanipal,0x1234e,URU TIMES URUDA,0.0001,11,4,,,model
Assurbanipal,0x1235a,UZ3,0.0027,9,4,,,model
Assurbanipal,0x12394,,0.0012,15,4,,,model
Esagil,0x1205e,DAG KISIM5 TIMES GIR2,0.0046,15,4,y,,model
Esagil,0x12066,DAG KISIM5 TIMES LU PLUS MASH2,0.0049,24,4,y,,model
Esagil,0x1206f,DAR,0.0003,8,4,y,,model
Esagil,0x120b5,GA,0.0028,6,4,y,,model
Esagil,0x12126,GUR7,0.0,11,4,y,,model
Esagil,0x12127,GURUN,0.0037,7,4,y,,model
Esagil,0x1212f,HI TIMES ASH2,0.0004,8,4,y,,model
Esagil,0x121a7,KISH,0.0008,8,4,y,corrected in editor,model
Esagil,0x12246,NAM & ERIN2,0.0013,10,4,y,,model
Esagil,0x12250,NIM TIMES GAN2 TENU,0.0031,10,4,y,corrected in editor,model
Esagil,0x122c7,SHIM TIMES A,0.0005,12,4,y,,model
Esagil,0x122eb,TA,0.0024,7,4,y,,model
Esagil,0x1231d,UM,0.0001,6,4,y,,model
Assurbanipal,0x12011,AB TIMES IMIN,0.0006,13,3,,,model
Assurbanipal,0x12028,AL TIMES USH,0.0,12,3,,,model
Assurbanipal,0x1203d,ASH OVER ASH OVER ASH CROSSING ASH OVER ASH OVER ASH,0.0002,7,3,,,model
Assurbanipal,0x1206c,DAG KISIM5 TIMES U2 PLUS GIR2,0.0009,23,3,,,model
Assurbanipal,0x12096,EL,0.0001,8,3,,,model
Assurbanipal,0x1209e,EREN,0.0041,18,3,,,model
Assurbanipal,0x120b3,EZEN TIMES U2,0.0,16,3,,,model
Assurbanipal,0x120de,GA2 TIMES ME PLUS EN,0.0003,12,3,,,model
Assurbanipal,0x120e4,GA2 TIMES SAR,0.0014,14,3,,,model
Assurbanipal,0x120f9,GAN2 OVER GAN2,0.0,12,3,,,model
Assurbanipal,0x12104,GI4,0.0015,10,3,,,model
Assurbanipal,0x12107,GIDIM,0.0002,12,3,,,model
Assurbanipal,0x12112,GISH CROSSING GISH,0.0027,6,3,,,model
Assurbanipal,0x1214c,IL TIMES GAN2 TENU,0.002,15,3,,,model
Assurbanipal,0x121b5,KUSHU2,0.0001,6,3,,,model
Assurbanipal,0x121c1,LAGAB TIMES BI,0.0039,8,3,,,model
Assurbanipal,0x121c8,LAGAB TIMES HA,0.0001,9,3,,,model
Assurbanipal,0x121cb,LAGAB TIMES IGI GUNU,0.0001,9,3,,,model
Assurbanipal,0x121cc,LAGAB TIMES IM,0.0021,11,3,,,model
Assurbanipal,0x121e4,LAGAB TIMES TE PLUS A PLUS SU PLUS NA,0.0,19,3,,,model
Assurbanipal,0x12204,LU2 TIMES IM,0.0014,17,3,,,model
Assurbanipal,0x12205,LU2 TIMES KAD2,0.0,14,3,,,model
Assurbanipal,0x1222d,MU OVER MU,0.0006,10,3,,,model
Assurbanipal,0x1223a,MUSH3 TIMES A,0.0003,9,3,,,model
Assurbanipal,0x1223f,NA2,0.004,11,3,,,model
Assurbanipal,0x12240,NAGA,0.0014,12,3,,,model
Assurbanipal,0x1224a,NE TIMES UD,0.0025,12,3,,,model
Assurbanipal,0x12253,NINDA2 TIMES AN,0.0016,8,3,,,model
Assurbanipal,0x1226a,NUN OVER NUN,0.004,10,3,,,model
Assurbanipal,0x12274,NUNUZ AB2 TIMES LA,0.001,17,3,,,model
Assurbanipal,0x1229c,SAG TIMES LUM,0.0002,14,3,,,model
Assurbanipal,0x1229f,SAG TIMES SAL,0.0021,11,3,,,model
Assurbanipal,0x122c6,SHIM,0.0042,9,3,,,model
Assurbanipal,0x122cc,SHIM TIMES IGI,0.0,12,3,,,model
Assurbanipal,0x122cd,SHIM TIMES IGI GUNU,0.0,16,3,,,model
Assurbanipal,0x122d2,SHINIG,0.0015,15,3,,,model
Assurbanipal,0x122e8,SUMASH,0.0039,10,3,,,model
Assurbanipal,0x12322,UMBIN,0.0014,20,3,,,model
Assurbanipal,0x1232a,UR SHESHIG,0.0008,10,3,,,model
Assurbanipal,0x1232e,UR2 TIMES AL,0.0001,13,3,,,model
Assurbanipal,0x12335,URI,0.0006,14,3,,,model
Esagil,0x1205b,DAG KISIM5 TIMES GA,0.0001,15,3,y,,model
Esagil,0x12070,DARA3,0.0001,15,3,y,,model
Esagil,0x1207e,DUB,0.0001,8,3,y,,model
Esagil,0x1210a,GIR3,0.0012,6,3,y,,model
Esagil,0x12112,GISH CROSSING GISH,0.0008,6,3,y,,model
Esagil,0x1212b,HA GUNU,0.0001,9,3,y,,model
Esagil,0x12138,HUB2,0.0003,7,3,y,,model
Esagil,0x1213d,HUB2 TIMES UD,0.0,10,3,y,,model
Esagil,0x12145,IG,0.0014,6,3,y,,model
Esagil,0x1214e,IM,0.0014,7,3,y,,model
Esagil,0x1218d,KA2,0.0005,8,3,y,,model
Esagil,0x1218f,KAB,0.0003,7,3,y,,model
Esagil,0x12198,KAL TIMES BAD,0.0002,8,3,y,,model
Esagil,0x121c0,LAGAB TIMES BAD,0.0001,6,3,y,,model
Esagil,0x12244,NAGAR & ZA TENU,0.0004,6,3,y,,model
Esagil,0x1228a,PIRIG,0.0012,6,3,y,,model
Esagil,0x1228d,PIRIG TIMES ZA,0.0001,8,3,y,,model
Esagil,0x12291,RI,0.0002,5,3,y,,model
Esagil,0x122af,SHA3 TIMES A,0.0007,10,3,y,,model
Esagil,0x122cb,SHIM TIMES GAR,0.0001,12,3,y,,model
Esagil,0x122d4,SHIR TENU,0.0004,7,3,y,,model
Esagil,0x122e6,SUHUR,0.0019,13,3,y,,model
Esagil,0x122ed,TA TIMES HI,0.0049,10,3,y,,model
Esagil,0x12314,UD KUSHU2,0.0005,10,3,y,,model
Esagil,0x12324,UMUM TIMES KASKAL,0.0004,14,3,y,,model
Esagil,0x1234e,URU TIMES URUDA,0.0021,11,3,,,model
Esagil,0x1234f,URUDA,0.0002,7,3,,,model
Esagil,0x12351,USH,0.0013,6,3,,,model
Esagil,0x12352,USH TIMES A,0.0024,10,3,,,model
Esagil,0x12364,ZI OVER ZI & A,0.0018,12,3,,,model
Esagil,0x1237d,SIGN HUSH,0.0014,9,3,,,model
Esagil,0x1238c,MESH,0.0002,5,3,,,model
Assurbanipal,0x12010,AB TIMES IGI GUNU,0.004,14,2,,,model
Assurbanipal,0x12015,AB GUNU,0.0013,9,2,,,model
Assurbanipal,0x12018,AB2 TIMES GAN2 TENU,0.0003,9,2,,,model
Assurbanipal,0x12023,AL TIMES GISH,0.0015,9,2,,,model
Assurbanipal,0x12054,BUR2,0.0017,9,2,,,model
Assurbanipal,0x12070,DARA3,0.0015,12,2,,,model
Assurbanipal,0x12071,DARA4,0.0001,13,2,,,model
Assurbanipal,0x1207b,DU OVER DU,0.0003,9,2,,,model
Assurbanipal,0x120ab,EZEN TIMES IGI GUNU,0.0019,15,2,,,model
Assurbanipal,0x120ba,GA2 TIMES A PLUS IGI,0.0003,11,2,,,model
Assurbanipal,0x120cd,GA2 TIMES GI,0.001,12,2,,,model
Assurbanipal,0x120d3,GA2 TIMES HAL PLUS LA,0.0017,12,2,,,model
Assurbanipal,0x120ff,GESHTIN TIMES KUR,0.0026,9,2,,,model
Assurbanipal,0x12105,GI4 OVER GI4,0.003,20,2,,,model
Assurbanipal,0x1210c,GIR3 TIMES GAN2 TENU,0.0003,9,2,,,model
Assurbanipal,0x1214d,IL2,0.0029,15,2,,,model
Assurbanipal,0x12198,KAL TIMES BAD,0.0005,8,2,,,model
Assurbanipal,0x121a1,KI TIMES BAD,0.0017,9,2,,,model
Assurbanipal,0x121b2,KUN,0.001,11,2,,,model
Assurbanipal,0x121b9,LAGAB TIMES A,0.0039,7,2,,,model
Assurbanipal,0x121bc,LAGAB TIMES A PLUS LAL,0.0001,9,2,,,model
Assurbanipal,0x121c5,LAGAB TIMES GAR,0.003,8,2,,,model
Assurbanipal,0x121e1,LAGAB TIMES SUM,0.0003,11,2,,,model
Assurbanipal,0x121e6,LAGAB TIMES U PLUS A,0.0043,8,2,,,model
Assurbanipal,0x121e9,LAGAB TIMES UD,0.003,7,2,,,model
Assurbanipal,0x121fc,LU TIMES BAD,0.0,9,2,,,model
Assurbanipal,0x12213,LU2 OPPOSING LU2,0.0026,12,2,,,model
Assurbanipal,0x12216,LU3,0.0002,9,2,,,model
Assurbanipal,0x1221d,LUM,0.0,7,2,,,model
Assurbanipal,0x12231,MURGU2,0.0,7,2,,,model
Assurbanipal,0x12242,NAGA TIMES SHU TENU,0.0027,17,2,,,model
Assurbanipal,0x1225e,NINDA2 TIMES U2 PLUS ASH,0.0001,13,2,,,model
Assurbanipal,0x12266,NUN LAGAR TIMES SAL,0.0002,13,2,,,model
Assurbanipal,0x12294,SAG NUTILLU,0.0021,6,2,,,model
Assurbanipal,0x12297,SAG TIMES DU,0.003,12,2,,,model
Assurbanipal,0x1229e,SAG TIMES NUN,0.0,12,2,,,model
Assurbanipal,0x122a0,SAG TIMES SHID,0.0029,13,2,,,model
Assurbanipal,0x122a6,SAG TIMES USH,0.0003,13,2,,,model
Assurbanipal,0x122b0,SHA3 TIMES BAD,0.0003,7,2,,,model
Assurbanipal,0x122b2,SHA3 TIMES NE,0.003,14,2,,,model
Assurbanipal,0x122b3,SHA3 TIMES SHU2,0.0002,7,2,,,model
