font,codepoint,name,confidence,n_wedges,doubtful_wedges,accept,notes
Assurbanipal,0x1216c,KA TIMES GUR7,0.0001,28,13,y,
Assurbanipal,0x122df,SIG4 OVER SIG4 SHU2,0.0002,20,13,n,
Assurbanipal,0x1221f,LUM OVER LUM GAR OVER GAR,0.0002,21,11,y,
Assurbanipal,0x1220f,LU2 TIMES SIK2 PLUS BU,0.0004,25,10,y,
Assurbanipal,0x120d1,GA2 TIMES HA PLUS LU PLUS ESH2,0.0004,23,9,n,
Assurbanipal,0x1226e,NUNUZ AB2 TIMES ASHGAB,0.0001,18,9,y,
Assurbanipal,0x12275,NUNUZ AB2 TIMES NE,0.0007,21,9,y,
Assurbanipal,0x122bc,SHE OVER SHE GAD OVER GAD GAR OVER GAR,0.0027,22,9,y,
Assurbanipal,0x12304,TIR OVER TIR GAD OVER GAD GAR OVER GAR,0.0027,40,9,n,
Assurbanipal,0x1215d,KA TIMES BALAG,0.0005,19,8,n,
Assurbanipal,0x1221e,LUM OVER LUM & SHU2,0.0001,12,8,y,
Assurbanipal,0x1226f,NUNUZ AB2 TIMES BI,0.0002,15,8,y,
Assurbanipal,0x12013,AB TIMES SHESH,0.0,18,7,y,
Assurbanipal,0x120ca,GA2 TIMES EN TIMES GAN2 TENU,0.0017,17,7,y,
Assurbanipal,0x12117,GU CROSSING GU,0.0003,11,7,n,
Assurbanipal,0x1219e,KASKAL OVER KASKAL LAGAB TIMES U OVER LAGAB TIMES U,0.0,18,7,n,
Assurbanipal,0x121dc,LAGAB TIMES SHE PLUS SUM,0.0031,15,7,y,
Assurbanipal,0x12230,MUNSUB,0.0023,27,7,y,
Assurbanipal,0x12236,MUSH OVER MUSH,0.0006,18,7,y,
Assurbanipal,0x12272,NUNUZ AB2 TIMES IGI GUNU,0.0005,19,7,y,
Assurbanipal,0x1235b,UZ3 TIMES KASKAL,0.0005,12,7,y,
Assurbanipal,0x12062,DAG KISIM5 TIMES IR PLUS LU,0.0013,22,6,y,
Assurbanipal,0x1206b,DAG KISIM5 TIMES TAK4,0.0002,21,6,y,
Assurbanipal,0x120c2,GA2 TIMES BUR PLUS RA,0.002,19,6,y,
Assurbanipal,0x12133,HI TIMES KIN,0.0031,12,6,y,
Assurbanipal,0x121ba,LAGAB TIMES A PLUS DA PLUS HA,0.0,18,6,y,
Assurbanipal,0x121f0,LAGAR GUNU OVER LAGAR GUNU SHE,0.0005,18,6,y,
Assurbanipal,0x12211,LU2 TENU,0.0,11,6,y,
Assurbanipal,0x12273,NUNUZ AB2 TIMES KAD3,0.0,18,6,y,
Assurbanipal,0x12279,NUNUZ KISIM5 TIMES BI U,0.0,17,6,y,
Assurbanipal,0x122ea,SUR9,0.001,15,6,y,
Assurbanipal,0x1231f,UM TIMES ME PLUS DA,0.0,15,6,y,
Assurbanipal,0x12373,,0.0021,17,6,y,
Assurbanipal,0x12046,BALAG,0.0,14,5,y,
Assurbanipal,0x1204c,BI TIMES IGI GUNU,0.0007,10,5,y,
Assurbanipal,0x12059,DAG KISIM5 TIMES BALAG,0.0005,19,5,y,
Assurbanipal,0x1205a,DAG KISIM5 TIMES BI,0.0008,16,5,y,
Assurbanipal,0x12095,EGIR,0.0003,13,5,y,
Assurbanipal,0x120b1,EZEN TIMES LI,0.0001,19,5,y,
Assurbanipal,0x120c3,GA2 TIMES DA,0.0004,11,5,y,
Assurbanipal,0x120d0,GA2 TIMES GIR2 PLUS SU,0.0002,17,5,y,
Assurbanipal,0x120d7,GA2 TIMES ISH PLUS HU PLUS ASH,0.0001,15,5,y,
Assurbanipal,0x12126,GUR7,0.0001,21,5,y,
Assurbanipal,0x12172,KA TIMES LI,0.0004,16,5,y,
Assurbanipal,0x1219d,KASKAL LAGAB TIMES U OVER LAGAB TIMES U,0.0,14,5,y,
Assurbanipal,0x121e0,LAGAB TIMES SHU2 PLUS SHU2,0.0004,8,5,y,
Assurbanipal,0x12219,LUGAL OPPOSING LUGAL,0.0,19,5,y,
Assurbanipal,0x12241,NAGA INVERTED,0.001,6,5,y,
