font,codepoint,name,confidence,n_wedges,doubtful_wedges,accept,notes
Assurbanipal,0x122df,SIG4 OVER SIG4 SHU2,0.0002,20,13,,
Assurbanipal,0x1220f,LU2 TIMES SIK2 PLUS BU,0.0004,25,10,,
Assurbanipal,0x120d1,GA2 TIMES HA PLUS LU PLUS ESH2,0.0004,23,9,,
Assurbanipal,0x12304,TIR OVER TIR GAD OVER GAD GAR OVER GAR,0.0027,40,9,,
Assurbanipal,0x12013,AB TIMES SHESH,0.0,18,7,,
Assurbanipal,0x121dc,LAGAB TIMES SHE PLUS SUM,0.0031,15,7,,
Assurbanipal,0x12236,MUSH OVER MUSH,0.0006,18,7,,
Assurbanipal,0x12062,DAG KISIM5 TIMES IR PLUS LU,0.0013,22,6,,
Assurbanipal,0x120d0,GA2 TIMES GIR2 PLUS SU,0.0002,17,5,,
Assurbanipal,0x121e0,LAGAB TIMES SHU2 PLUS SHU2,0.0004,8,5,,
Assurbanipal,0x12278,NUNUZ KISIM5 TIMES BI,0.0048,15,5,,
Assurbanipal,0x12161,KA TIMES ESH2,0.0001,13,4,,
Assurbanipal,0x12096,EL,0.0001,8,3,,
Assurbanipal,0x120e4,GA2 TIMES SAR,0.0014,14,3,,
Assurbanipal,0x12105,GI4 OVER GI4,0.003,20,2,,
Assurbanipal,0x121c5,LAGAB TIMES GAR,0.003,8,2,,
Assurbanipal,0x12294,SAG NUTILLU,0.0021,6,2,,
Assurbanipal,0x122b2,SHA3 TIMES NE,0.003,14,2,,
Assurbanipal,0x122b5,SHA3 TIMES U,0.0025,6,1,,
Assurbanipal,0x120b8,GA2 TIMES A PLUS DA PLUS HA,0.014,18,7,,
Assurbanipal,0x12068,DAG KISIM5 TIMES NE,0.0146,19,4,,
Assurbanipal,0x120bf,GA2 TIMES BAD,0.0065,7,2,,
Assurbanipal,0x1217f,KA TIMES SAR,0.0117,16,2,,
Assurbanipal,0x120df,GA2 TIMES MI(standard),0.0072,10,1,,
Assurbanipal,0x1211d,GU2 GUNU & KAK,0.0126,11,1,,
Assurbanipal,0x1213d,HUB2 TIMES UD,0.0069,9,1,,
Assurbanipal,0x1214a,IGI GUNU,0.0106,7,1,,
Assurbanipal,0x121ff,LU2 TIMES BAD,0.0059,12,1,,
Assurbanipal,0x122cb,SHIM TIMES GAR,0.0177,13,3,,
Assurbanipal,0x120fd,GASHAN,0.0245,5,1,,
Assurbanipal,0x12352,USH TIMES A,0.0178,8,1,,
Assurbanipal,0x1201f,AK TIMES SHITA PLUS GISH,0.0344,14,2,,
Assurbanipal,0x12324,UMUM TIMES KASKAL,0.0404,14,3,,
Assurbanipal,0x12160,KA TIMES ERIN2,0.0424,11,1,,
Assurbanipal,0x12088,DUN4,0.05,13,2,,
Assurbanipal,0x121da,LAGAB TIMES MUSH,0.05,13,2,,
Assurbanipal,0x120e0,GA2 TIMES NUN,0.05,10,1,,
Assurbanipal,0x1233f,URU TIMES GAR,0.05,9,1,,
Assurbanipal,0x121a8,KISIM5,0.0666,4,1,,
Assurbanipal,0x120a7,,0.1099,16,1,,
Assurbanipal,0x12388,LAGAB TIMES GI,0.1209,11,2,,
Assurbanipal,0x121c6,LAGAB TIMES GUD,0.2429,9,1,,
Assurbanipal,0x1233c,URU TIMES GA,0.244,12,1,,
Assurbanipal,0x1200b,AB TIMES ASH2,0.3225,6,0,,
Assurbanipal,0x122c2,SHESHLAM,0.3531,6,0,,
Assurbanipal,0x120cc,GA2 TIMES GAR,0.4158,9,0,,
Assurbanipal,0x1203c,CUNEIFORM SIGN ASH OVER ASH OVER ASH & TAB,0.4937,3,0,,
Assurbanipal,0x12316,UD TIMES MI,0.5856,7,0,,
