font,codepoint,name,confidence,n_wedges,doubtful_wedges,accept,notes
Esagil,0x12246,NAM & ERIN2,0.0013,10,4,,
Esagil,0x122c7,SHIM TIMES A,0.0005,12,4,,
Esagil,0x1231d,UM,0.0001,6,4,,
Esagil,0x1213d,HUB2 TIMES UD,0.0,10,3,,
Esagil,0x12145,IG,0.0014,6,3,,
Esagil,0x121c0,LAGAB TIMES BAD,0.0001,6,3,,
Esagil,0x122d4,SHIR TENU,0.0004,7,3,,
Esagil,0x12034,ARAD,0.0003,5,2,,
Esagil,0x12239,MUSH3,0.0005,5,2,,
Esagil,0x12263,NUN,0.0008,5,2,,
Esagil,0x12340,URU TIMES GU,0.0,11,2,,
Esagil,0x12147,IGI & DIB,0.0005,9,1,,
Esagil,0x12148,IGI RI,0.0005,8,1,,
Esagil,0x121f5,LAM TIMES KUR,0.0032,9,1,,
Esagil,0x122c1,SHESH2 & SUHUR,0.0012,10,1,,
Esagil,0x12335,URI,0.0023,10,1,,
Esagil,0x12075,DIM TIMES SHE,0.007,8,3,,
Esagil,0x1211b,GU2 TIMES NUN,0.0119,13,2,,
Esagil,0x1245b,,0.016,4,1,,
Esagil,0x12368,ZIG,0.0293,8,1,,
Esagil,0x12108,GIR2,0.0389,4,1,,
Esagil,0x12410,,0.0457,5,2,,
Esagil,0x120b7,GA2,0.05,5,1,,
Esagil,0x1219b,KAM4,0.0749,12,2,,
Esagil,0x122f3,TAG,0.1146,5,1,,
Esagil,0x1222d,MU OVER MU,0.1485,10,1,,
Esagil,0x12360,ZAG,0.148,8,1,,
Esagil,0x12195,KAK,0.2557,3,1,,
Esagil,0x12119,GU2 TIMES KAK,0.3022,10,0,,
Esagil,0x12446,,0.3605,9,0,,
Esagil,0x120ae,EZEN TIMES KU3,0.3828,14,0,,
Esagil,0x1222e,MUG,0.3759,6,0,,
Esagil,0x12118,GU2 & UN,0.4199,7,0,,
Esagil,0x12454,,0.4187,6,0,,
Esagil,0x121a0,KI,0.4309,7,0,,
Esagil,0x1208a,E,0.463,5,0,,
Esagil,0x12111,GISH,0.4805,3,0,,
Esagil,0x12457,,0.5063,3,0,,
Esagil,0x12293,SA,0.5458,6,0,,
Esagil,0x121c5,LAGAB TIMES GAR,0.5554,7,0,,
Esagil,0x121b7,LA,0.577,6,0,,
Esagil,0x120bc,GA2 TIMES AN,0.6016,8,0,,
Esagil,0x122f0,TAB,0.6095,2,0,,
Esagil,0x12473,,0.6063,3,0,,
Esagil,0x1212c,HAL,0.6384,2,0,,
Esagil,0x12400,,0.6384,2,0,,
Esagil,0x1208d,E2,0.6465,5,0,,
Esagil,0x121a4,KID,0.6496,5,0,,
