label,x,y
Stroke 1,92,148
Stroke 1,94,123
Stroke 1,106,138
Stroke 1,147,139
Stroke 2,93,117
Stroke 2,96,92
Stroke 2,106,106
Stroke 2,146,107
Stroke 3,140,92
Stroke 3,166,94
Stroke 3,151,104
Stroke 3,151,148
Stroke 4,100,112
Stroke 4,110,113
Stroke 4,105,118
Stroke 4,104,144
Stroke 5,111,113
Stroke 5,123,111
Stroke 5,114,117
Stroke 5,113,144
Stroke 6,118,131
Stroke 6,120,115
Stroke 6,124,125
Stroke 6,128,125
Stroke 7,128,130
Stroke 7,128,116
Stroke 7,133,125
Stroke 7,147,125
Stroke 8,130,111
Stroke 8,146,111
Stroke 8,137,116
Stroke 8,136,124
