x,y,label
69.94,81.84,Stroke 1
67.1,108.1,Stroke 1
80.38,97.17,Stroke 1
168.88,98.12,Stroke 1
71.18,125.12,Stroke 2
68.98,151.95,Stroke 2
82.24,141.23,Stroke 2
122.31,142.57,Stroke 2
79.91,115.13,Stroke 3
93.07,117.96,Stroke 3
86.91,123.15,Stroke 3
86.93,153.95,Stroke 3
107.88,116.82,Stroke 4
93.07,117.96,Stroke 4
97.9,123.25,Stroke 4
97.33,153.9,Stroke 4
117.98,115.81,Stroke 5
109.52,122.25,Stroke 5
115.33,122.28,Stroke 5
117.24,128.11,Stroke 5
114.89,127.14,Stroke 6
114.69,140.03,Stroke 6
121.08,135.26,Stroke 6
144.99,136.0,Stroke 6
126.89,117.16,Stroke 7
121.06,121.34,Stroke 7
127.25,122.18,Stroke 7
129.75,133.86,Stroke 7
119.9,100.84,Stroke 8
117.98,115.81,Stroke 8
127.49,109.17,Stroke 8
149.11,110.13,Stroke 8
125.18,111.96,Stroke 9
133.01,114.18,Stroke 9
129.27,116.82,Stroke 9
129.75,133.86,Stroke 9
133.01,114.18,Stroke 10
138.09,114.19,Stroke 10
136.03,117.25,Stroke 10
135.39,133.17,Stroke 10
147.01,113.11,Stroke 11
133.01,114.18,Stroke 11
141.19,117.92,Stroke 11
141.38,133.11,Stroke 11
153.95,125.99,Stroke 12
145.89,130.7,Stroke 12
151.2,135.22,Stroke 12
155.79,139.42,Stroke 12
146.74,100.87,Stroke 13
156.0,102.17,Stroke 13
151.95,106.72,Stroke 13
150.03,123.0,Stroke 13
156.0,102.17,Stroke 14
162.09,102.88,Stroke 14
158.83,106.81,Stroke 14
159.25,127.07,Stroke 14
161.24,126.18,Stroke 15
153.05,136.06,Stroke 15
159.46,135.76,Stroke 15
155.79,139.42,Stroke 15
161.17,101.79,Stroke 16
168.98,102.91,Stroke 16
165.66,106.5,Stroke 16
165.27,127.95,Stroke 16
161.97,88.16,Stroke 17
188.09,90.06,Stroke 17
173.56,101.18,Stroke 17
172.91,146.1,Stroke 17
