x,y,label
51.87,114.04,Stroke 1
65.08,117.01,Stroke 1
58.96,122.08,Stroke 1
58.89,152.23,Stroke 1
46.1,81.07,Stroke 2
43.14,107.91,Stroke 2
59.14,96.81,Stroke 2
192.86,98.01,Stroke 2
47.83,125.82,Stroke 3
44.93,151.85,Stroke 3
60.49,140.59,Stroke 3
91.58,140.34,Stroke 3
65.08,117.01,Stroke 4
82.86,118.05,Stroke 4
69.9,121.89,Stroke 4
69.29,152.9,Stroke 4
82.86,118.05,Stroke 5
81.82,135.91,Stroke 5
88.63,130.61,Stroke 5
107.99,130.97,Stroke 5
83.26,104.08,Stroke 6
82.86,118.05,Stroke 6
89.16,113.37,Stroke 6
99.9,112.99,Stroke 6
99.6,102.54,Stroke 7
108.87,103.92,Stroke 7
104.13,109.78,Stroke 7
106.8,118.04,Stroke 7
108.87,103.92,Stroke 8
118.03,105.76,Stroke 8
113.84,109.66,Stroke 8
112.77,135.8,Stroke 8
128.01,104.89,Stroke 9
118.03,105.76,Stroke 9
121.38,109.88,Stroke 9
121.25,135.13,Stroke 9
125.92,110.41,Stroke 10
125.75,127.04,Stroke 10
133.79,121.2,Stroke 10
160.35,125.19,Stroke 10
141.98,103.06,Stroke 11
153.18,105.65,Stroke 11
147.53,110.34,Stroke 11
147.26,136.81,Stroke 11
158.14,104.0,Stroke 12
148.95,121.97,Stroke 12
155.89,120.95,Stroke 12
160.35,125.19,Stroke 12
158.14,104.0,Stroke 13
171.73,105.13,Stroke 13
164.24,110.51,Stroke 13
163.38,136.9,Stroke 13
171.05,111.98,Stroke 14
169.81,126.9,Stroke 14
176.19,121.04,Stroke 14
195.06,121.91,Stroke 14
186.14,88.86,Stroke 15
212.86,90.76,Stroke 15
197.81,101.17,Stroke 15
197.1,146.78,Stroke 15
