x,y,label
60.84,86.92,Stroke 1
84.89,89.22,Stroke 1
72.07,99.15,Stroke 1
71.22,143.53,Stroke 1
59.22,129.1,Stroke 2
56.0,155.79,Stroke 2
72.54,144.89,Stroke 2
123.25,146.95,Stroke 2
82.96,105.93,Stroke 3
74.2,109.31,Stroke 3
79.53,115.02,Stroke 3
78.89,140.8,Stroke 3
81.94,111.97,Stroke 4
92.96,115.39,Stroke 4
87.33,120.19,Stroke 4
87.06,140.18,Stroke 4
82.96,105.93,Stroke 5
98.98,109.15,Stroke 5
87.37,115.2,Stroke 5
84.25,128.23,Stroke 5
85.03,80.07,Stroke 6
82.96,105.93,Stroke 6
95.78,94.84,Stroke 6
178.13,96.94,Stroke 6
100.74,121.98,Stroke 7
97.77,139.78,Stroke 7
104.76,133.8,Stroke 7
126.08,134.04,Stroke 7
100.74,121.98,Stroke 8
100.74,121.98,Stroke 8
104.99,125.27,Stroke 8
106.4,129.16,Stroke 8
98.98,109.15,Stroke 9
100.74,121.98,Stroke 9
105.23,118.02,Stroke 9
120.0,118.25,Stroke 9
100.74,121.98,Stroke 10
107.03,129.1,Stroke 10
110.96,125.77,Stroke 10
126.22,125.74,Stroke 10
129.1,106.17,Stroke 11
139.02,109.07,Stroke 11
134.94,113.2,Stroke 11
134.66,139.85,Stroke 11
150.9,108.05,Stroke 12
139.02,109.07,Stroke 12
143.19,113.98,Stroke 12
142.92,139.84,Stroke 12
150.9,108.05,Stroke 13
163.04,109.76,Stroke 13
158.69,112.89,Stroke 13
158.28,117.76,Stroke 13
153.24,117.09,Stroke 14
162.89,118.97,Stroke 14
158.74,122.94,Stroke 14
158.26,140.82,Stroke 14
162.89,118.97,Stroke 15
172.99,119.86,Stroke 15
166.59,122.77,Stroke 15
166.26,140.84,Stroke 15
173.91,108.65,Stroke 16
163.04,109.76,Stroke 16
166.95,112.82,Stroke 16
166.18,117.13,Stroke 16
178.17,116.03,Stroke 17
169.0,126.12,Stroke 17
175.72,125.95,Stroke 17
179.99,129.73,Stroke 17
172.14,87.98,Stroke 18
198.86,89.94,Stroke 18
183.87,100.58,Stroke 18
182.98,145.02,Stroke 18
