label,x,y
Stroke 1,53,100
Stroke 1,56,119
Stroke 1,62,115
Stroke 1,106,115
Stroke 2,55,120
Stroke 2,50,141
Stroke 2,62,130
Stroke 2,107,130
Stroke 3,120,102
Stroke 3,108,115
Stroke 3,115,115
Stroke 3,121,121
Stroke 4,108,130
Stroke 4,118,120
Stroke 4,114,131
Stroke 4,120,137
Stroke 5,122,116
Stroke 5,125,93
Stroke 5,137,106
Stroke 5,187,107
Stroke 6,180,91
Stroke 6,206,93
Stroke 6,191,104
Stroke 6,190,148
Stroke 7,122,150
Stroke 7,125,129
Stroke 7,135,142
Stroke 7,188,142
Stroke 8,135,112
Stroke 8,136,123
Stroke 8,141,121
Stroke 8,151,121
Stroke 9,134,133
Stroke 9,136,124
Stroke 9,140,126
Stroke 9,146,127
Stroke 10,142,132
Stroke 10,148,127
Stroke 10,148,131
Stroke 10,153,134
Stroke 11,148,126
Stroke 11,154,121
Stroke 11,154,126
Stroke 11,158,129
Stroke 12,154,120
Stroke 12,160,112
Stroke 12,158,122
Stroke 12,161,125
Stroke 13,154,135
Stroke 13,165,123
Stroke 13,162,135
Stroke 13,167,138
Stroke 14,172,113
Stroke 14,174,125
Stroke 14,179,123
Stroke 14,189,123
Stroke 15,171,136
Stroke 15,174,126
Stroke 15,178,129
Stroke 15,188,129
