x,y,label
97.89,85.4,Stroke 1
87.67,98.86,Stroke 1
95.42,98.05,Stroke 1
100.03,101.75,Stroke 1
102.17,101.03,Stroke 2
90.08,111.64,Stroke 2
97.02,110.77,Stroke 2
102.71,115.14,Stroke 2
103.73,115.87,Stroke 3
90.72,126.89,Stroke 3
98.51,126.01,Stroke 3
103.0,129.98,Stroke 3
100.39,131.28,Stroke 4
93.04,139.74,Stroke 4
100.27,139.01,Stroke 4
105.2,143.18,Stroke 4
102.91,100.97,Stroke 5
98.17,105.44,Stroke 5
102.92,106.34,Stroke 5
108.9,111.24,Stroke 5
105.1,128.98,Stroke 6
100.24,134.86,Stroke 6
105.23,134.74,Stroke 6
114.37,134.14,Stroke 6
112.16,90.9,Stroke 7
102.91,100.97,Stroke 7
108.03,101.84,Stroke 7
114.94,106.98,Stroke 7
116.97,122.98,Stroke 8
105.1,128.98,Stroke 8
110.03,130.47,Stroke 8
114.37,134.14,Stroke 8
117.39,91.86,Stroke 9
116.98,105.45,Stroke 9
123.24,100.27,Stroke 9
133.95,100.05,Stroke 9
116.97,122.98,Stroke 10
116.55,139.4,Stroke 10
123.63,132.95,Stroke 10
134.75,132.99,Stroke 10
134.81,100.15,Stroke 11
122.72,107.88,Stroke 11
128.92,107.29,Stroke 11
133.79,111.94,Stroke 11
132.89,131.39,Stroke 12
122.7,140.86,Stroke 12
129.4,140.56,Stroke 12
133.9,144.95,Stroke 12
122.74,88.1,Stroke 13
140.01,90.01,Stroke 13
129.76,95.64,Stroke 13
128.21,103.66,Stroke 13
140.17,117.5,Stroke 14
122.84,121.62,Stroke 14
130.03,128.03,Stroke 14
126.08,132.86,Stroke 14
140.2,116.9,Stroke 15
150.88,119.35,Stroke 15
145.4,123.48,Stroke 15
144.87,129.99,Stroke 15
142.81,85.32,Stroke 16
159.02,88.99,Stroke 16
147.23,92.47,Stroke 16
146.94,99.95,Stroke 16
144.89,131.27,Stroke 17
159.12,133.02,Stroke 17
150.43,137.6,Stroke 17
149.83,146.84,Stroke 17
147.45,99.7,Stroke 18
160.28,102.52,Stroke 18
152.19,107.46,Stroke 18
151.78,116.06,Stroke 18
156.99,119.13,Stroke 19
149.05,119.78,Stroke 19
152.83,123.23,Stroke 19
152.99,130.98,Stroke 19
159.02,88.99,Stroke 20
151.07,89.05,Stroke 20
154.91,91.83,Stroke 20
154.95,100.15,Stroke 20
167.86,118.89,Stroke 21
156.99,119.13,Stroke 21
160.4,123.41,Stroke 21
158.07,131.97,Stroke 21
169.02,88.7,Stroke 22
159.02,88.99,Stroke 22
162.13,92.2,Stroke 22
159.99,101.8,Stroke 22
