x,y,label
4.83,113.95,Stroke 1
2.01,140.84,Stroke 1
15.73,129.67,Stroke 1
47.01,130.19,Stroke 1
38.2,89.11,Stroke 2
57.94,93.11,Stroke 2
48.91,101.72,Stroke 2
49.1,144.96,Stroke 2
57.94,93.11,Stroke 3
71.01,93.99,Stroke 3
63.33,101.87,Stroke 3
63.78,145.04,Stroke 3
71.01,93.99,Stroke 4
87.83,98.11,Stroke 4
76.03,102.31,Stroke 4
76.03,145.85,Stroke 4
87.83,98.11,Stroke 5
89.86,119.96,Stroke 5
97.23,113.33,Stroke 5
124.66,115.72,Stroke 5
89.86,119.96,Stroke 6
85.81,140.96,Stroke 6
98.71,130.34,Stroke 6
172.12,130.99,Stroke 6
127.93,91.55,Stroke 7
105.95,100.8,Stroke 7
121.17,105.93,Stroke 7
136.8,142.66,Stroke 7
142.88,82.93,Stroke 8
118.44,92.82,Stroke 8
135.45,99.33,Stroke 8
156.23,138.11,Stroke 8
179.72,98.88,Stroke 9
181.1,120.04,Stroke 9
188.79,114.95,Stroke 9
225.84,116.29,Stroke 9
181.1,120.04,Stroke 10
177.2,141.93,Stroke 10
188.95,130.99,Stroke 10
225.91,132.45,Stroke 10
220.62,92.18,Stroke 11
197.89,101.81,Stroke 11
213.1,106.37,Stroke 11
227.38,138.7,Stroke 11
234.88,83.01,Stroke 12
211.44,93.7,Stroke 12
227.41,99.94,Stroke 12
248.15,138.8,Stroke 12
