label,x,y
Stroke 1,91,226
Stroke 1,16,285
Stroke 1,93,283
Stroke 1,150,323
Stroke 2,153,145
Stroke 2,91,226
Stroke 2,138,237
Stroke 2,190,278
Stroke 3,236,241
Stroke 3,207,368
Stroke 3,273,310
Stroke 3,550,310
Stroke 4,227,143
Stroke 4,236,238
Stroke 4,276,221
Stroke 4,554,219
Stroke 5,264,142
Stroke 5,330,156
Stroke 5,305,178
Stroke 5,304,341
Stroke 6,337,0
Stroke 6,234,85
Stroke 6,342,71
Stroke 6,554,219
Stroke 7,330,156
Stroke 7,375,157
Stroke 7,357,176
Stroke 7,356,341
Stroke 8,375,157
Stroke 8,438,160
Stroke 8,405,180
Stroke 8,401,342
