label,x,y
Stroke 1,35,73
Stroke 1,17,251
Stroke 1,88,174
Stroke 1,307,180
Stroke 2,224,0
Stroke 2,362,4
Stroke 2,288,51
Stroke 2,287,368
Stroke 3,446,91
Stroke 3,311,183
Stroke 3,378,194
Stroke 3,424,257
Stroke 4,424,0
Stroke 4,605,4
Stroke 4,487,53
Stroke 4,486,368
Stroke 5,607,227
Stroke 5,518,324
Stroke 5,583,322
Stroke 5,626,356
Stroke 6,613,104
Stroke 6,528,195
Stroke 6,588,192
Stroke 6,637,232
Stroke 7,605,4
Stroke 7,537,73
Stroke 7,596,68
Stroke 7,644,106
Stroke 8,707,226
Stroke 8,624,323
Stroke 8,682,318
Stroke 8,728,356
Stroke 9,709,98
Stroke 9,625,192
Stroke 9,686,188
Stroke 9,730,226
Stroke 10,722,0
Stroke 10,632,67
Stroke 10,695,63
Stroke 10,746,105
