label,x,y
Stroke 1,29,214
Stroke 1,15,374
Stroke 1,98,309
Stroke 1,297,311
Stroke 2,42,22
Stroke 2,30,179
Stroke 2,105,116
Stroke 2,316,124
Stroke 3,414,216
Stroke 3,310,316
Stroke 3,377,311
Stroke 3,407,386
Stroke 4,433,61
Stroke 4,329,124
Stroke 4,391,140
Stroke 4,426,194
Stroke 5,476,48
Stroke 5,482,227
Stroke 5,539,141
Stroke 5,705,145
Stroke 6,482,227
Stroke 6,469,393
Stroke 6,545,324
Stroke 6,827,335
Stroke 7,822,79
Stroke 7,808,219
Stroke 7,711,148
Stroke 7,470,148
Stroke 8,795,15
Stroke 8,961,27
Stroke 8,867,96
Stroke 8,864,380
Stroke 9,905,78
Stroke 9,994,99
Stroke 9,963,136
Stroke 9,961,221
Stroke 10,912,207
Stroke 10,1057,220
Stroke 10,971,274
Stroke 10,967,367
Stroke 11,1083,92
Stroke 11,994,99
Stroke 11,1014,136
Stroke 11,1008,215
Stroke 12,1046,16
Stroke 12,1217,28
Stroke 12,1121,99
Stroke 12,1116,381
