label,x,y
Stroke 1,83,88
Stroke 1,104,91
Stroke 1,90,100
Stroke 1,91,121
Stroke 2,80,121
Stroke 2,105,123
Stroke 2,90,130
Stroke 2,90,155
Stroke 3,102,107
Stroke 3,109,93
Stroke 3,118,100
Stroke 3,161,102
Stroke 4,154,89
Stroke 4,178,89
Stroke 4,163,99
Stroke 4,163,122
Stroke 5,108,119
Stroke 5,110,106
Stroke 5,115,113
Stroke 5,123,114
Stroke 6,123,105
Stroke 6,121,118
Stroke 6,130,112
Stroke 6,162,115
Stroke 7,102,137
Stroke 7,104,120
Stroke 7,115,130
Stroke 7,160,132
Stroke 8,113,153
Stroke 8,115,141
Stroke 8,121,147
Stroke 8,127,148
Stroke 9,127,154
Stroke 9,127,143
Stroke 9,131,149
Stroke 9,159,149
Stroke 10,152,121
Stroke 10,176,123
Stroke 10,162,130
Stroke 10,163,156
