label,x,y
Stroke 1,45,90
Stroke 1,73,92
Stroke 1,57,102
Stroke 1,57,139
Stroke 2,47,157
Stroke 2,49,131
Stroke 2,64,146
Stroke 2,176,147
Stroke 3,72,143
Stroke 3,78,124
Stroke 3,86,132
Stroke 3,127,133
Stroke 4,78,122
Stroke 4,78,110
Stroke 4,86,118
Stroke 4,128,118
Stroke 5,79,109
Stroke 5,76,90
Stroke 5,87,105
Stroke 5,127,106
Stroke 6,103,89
Stroke 6,124,94
Stroke 6,115,103
Stroke 6,115,145
Stroke 7,125,94
Stroke 7,144,92
Stroke 7,130,105
Stroke 7,130,146
Stroke 8,135,138
Stroke 8,139,118
Stroke 8,147,128
Stroke 8,190,129
Stroke 9,139,116
Stroke 9,138,100
Stroke 9,147,111
Stroke 9,190,113
Stroke 10,166,91
Stroke 10,184,97
Stroke 10,177,105
Stroke 10,177,145
Stroke 11,187,95
Stroke 11,208,92
Stroke 11,193,103
Stroke 11,193,149
