label,x,y
Stroke 1,44,136
Stroke 1,48,117
Stroke 1,54,124
Stroke 1,89,125
Stroke 2,48,115
Stroke 2,46,94
Stroke 2,54,110
Stroke 2,85,110
Stroke 3,86,149
Stroke 3,89,122
Stroke 3,99,138
Stroke 3,143,139
Stroke 4,85,113
Stroke 4,87,86
Stroke 4,99,103
Stroke 4,142,102
Stroke 5,103,105
Stroke 5,104,119
Stroke 5,111,115
Stroke 5,143,115
Stroke 6,100,136
Stroke 6,104,121
Stroke 6,110,128
Stroke 6,143,129
Stroke 7,133,91
Stroke 7,161,93
Stroke 7,146,105
Stroke 7,145,148
Stroke 8,151,99
Stroke 8,152,118
Stroke 8,159,113
Stroke 8,194,114
Stroke 9,148,139
Stroke 9,151,119
Stroke 9,158,129
Stroke 9,194,130
Stroke 10,185,91
Stroke 10,195,103
Stroke 10,211,93
Stroke 10,195,148
