label,x,y
Stroke 1,64,111
Stroke 1,66,86
Stroke 1,77,101
Stroke 1,173,102
Stroke 2,66,130
Stroke 2,63,157
Stroke 2,76,146
Stroke 2,175,147
Stroke 3,81,89
Stroke 3,99,94
Stroke 3,92,101
Stroke 3,92,145
Stroke 4,100,93
Stroke 4,122,90
Stroke 4,107,100
Stroke 4,107,144
Stroke 5,122,103
Stroke 5,125,122
Stroke 5,132,118
Stroke 5,174,118
Stroke 6,125,123
Stroke 6,119,144
Stroke 6,132,134
Stroke 6,175,134
Stroke 7,134,92
Stroke 7,158,94
Stroke 7,144,103
Stroke 7,143,144
Stroke 8,167,90
Stroke 8,193,92
Stroke 8,178,102
Stroke 8,177,148
