label,x,y
Stroke 1,76,103
Stroke 1,55,128
Stroke 1,68,127
Stroke 1,79,136
Stroke 2,72,89
Stroke 2,99,91
Stroke 2,83,103
Stroke 2,83,148
Stroke 3,86,103
Stroke 3,86,129
Stroke 3,98,119
Stroke 3,141,120
Stroke 4,132,90
Stroke 4,160,92
Stroke 4,144,103
Stroke 4,144,142
Stroke 5,173,92
Stroke 5,201,94
Stroke 5,185,104
Stroke 5,184,146
Stroke 6,147,106
Stroke 6,148,118
Stroke 6,153,115
Stroke 6,182,115
Stroke 7,147,119
Stroke 7,147,126
Stroke 7,153,124
Stroke 7,182,124
Stroke 8,147,128
Stroke 8,147,138
Stroke 8,152,135
Stroke 8,182,135
Stroke 9,133,131
Stroke 9,130,158
Stroke 9,144,148
Stroke 9,188,148
