label,x,y
Stroke 1,91,114
Stroke 1,95,87
Stroke 1,104,101
Stroke 1,145,103
Stroke 2,139,91
Stroke 2,164,93
Stroke 2,150,105
Stroke 2,149,148
Stroke 3,92,159
Stroke 3,94,133
Stroke 3,105,148
Stroke 3,146,149
Stroke 4,99,108
Stroke 4,115,107
Stroke 4,104,115
Stroke 4,103,143
Stroke 5,109,114
Stroke 5,107,135
Stroke 5,117,126
Stroke 5,127,126
Stroke 6,114,121
Stroke 6,127,106
Stroke 6,123,119
Stroke 6,127,123
Stroke 7,131,120
Stroke 7,141,107
Stroke 7,139,122
Stroke 7,145,125
Stroke 8,115,142
Stroke 8,130,127
Stroke 8,125,141
Stroke 8,131,147
Stroke 9,128,142
Stroke 9,140,127
Stroke 9,138,140
Stroke 9,145,146
