label,x,y
Stroke 1,64,115
Stroke 1,83,95
Stroke 1,78,114
Stroke 1,85,121
Stroke 2,63,139
Stroke 2,82,120
Stroke 2,77,137
Stroke 2,85,144
Stroke 3,82,139
Stroke 3,98,122
Stroke 3,93,137
Stroke 3,101,145
Stroke 4,82,116
Stroke 4,99,97
Stroke 4,94,115
Stroke 4,102,122
Stroke 5,104,94
Stroke 5,106,114
Stroke 5,114,110
Stroke 5,158,110
Stroke 6,106,129
Stroke 6,106,115
Stroke 6,114,123
Stroke 6,157,123
Stroke 7,101,148
Stroke 7,106,130
Stroke 7,113,137
Stroke 7,157,137
Stroke 8,152,118
Stroke 8,168,98
Stroke 8,164,115
Stroke 8,173,121
Stroke 9,154,134
Stroke 9,169,113
Stroke 9,166,132
Stroke 9,172,136
Stroke 10,164,91
Stroke 10,191,92
Stroke 10,177,103
Stroke 10,175,149
