label,i,j
Stroke 1,2,0
Stroke 1,2,1
Stroke 1,2,3
Stroke 1,0,1
Stroke 10,1,0
Stroke 10,1,2
Stroke 10,1,3
Stroke 10,2,3
Stroke 11,2,0
Stroke 11,2,1
Stroke 11,2,3
Stroke 11,0,1
Stroke 2,3,0
Stroke 2,3,1
Stroke 2,3,2
Stroke 2,1,2
Stroke 3,2,0
Stroke 3,2,1
Stroke 3,2,3
Stroke 3,0,1
Stroke 4,2,0
Stroke 4,2,1
Stroke 4,2,3
Stroke 4,1,3
Stroke 5,2,0
Stroke 5,2,1
Stroke 5,2,3
Stroke 5,0,1
Stroke 6,3,0
Stroke 6,3,1
Stroke 6,3,2
Stroke 6,1,2
Stroke 7,1,0
Stroke 7,1,2
Stroke 7,1,3
Stroke 7,2,3
Stroke 8,1,0
Stroke 8,1,2
Stroke 8,1,3
Stroke 8,2,3
Stroke 9,3,0
Stroke 9,3,1
Stroke 9,3,2
Stroke 9,1,2
