label,x,y
Stroke 1,140,92
Stroke 1,165,94
Stroke 1,150,103
Stroke 1,150,149
Stroke 2,91,136
Stroke 2,94,109
Stroke 2,104,124
Stroke 2,147,126
Stroke 3,105,105
Stroke 3,117,108
Stroke 3,113,112
Stroke 3,113,123
Stroke 4,118,107
Stroke 4,130,107
Stroke 4,120,112
Stroke 4,120,123
Stroke 5,124,128
Stroke 5,141,127
Stroke 5,131,133
Stroke 5,130,145
Stroke 6,110,148
Stroke 6,112,140
Stroke 6,115,144
Stroke 6,129,143
Stroke 7,112,139
Stroke 7,111,134
Stroke 7,114,137
Stroke 7,128,138
Stroke 8,112,133
Stroke 8,112,128
Stroke 8,115,133
Stroke 8,128,133
