label,x,y
Stroke 1,143,91
Stroke 1,160,95
Stroke 1,153,104
Stroke 1,152,148
Stroke 2,111,89
Stroke 2,132,91
Stroke 2,120,101
Stroke 2,120,149
Stroke 3,105,90
Stroke 3,106,105
Stroke 3,112,100
Stroke 3,151,101
Stroke 4,89,92
Stroke 4,93,111
Stroke 4,100,108
Stroke 4,151,107
Stroke 5,92,113
Stroke 5,92,123
Stroke 5,99,120
Stroke 5,151,121
Stroke 6,91,128
Stroke 6,87,145
Stroke 6,152,136
Stroke 6,99,134
Stroke 7,110,140
Stroke 7,106,154
Stroke 7,118,148
Stroke 7,152,148
