label,x,y
Stroke 1,70,108
Stroke 1,87,88
Stroke 1,82,106
Stroke 1,90,113
Stroke 2,92,107
Stroke 2,108,88
Stroke 2,103,106
Stroke 2,112,113
Stroke 3,70,127
Stroke 3,85,111
Stroke 3,82,126
Stroke 3,90,132
Stroke 4,70,144
Stroke 4,87,126
Stroke 4,82,143
Stroke 4,90,149
Stroke 5,91,127
Stroke 5,106,110
Stroke 5,103,125
Stroke 5,111,132
Stroke 6,91,145
Stroke 6,108,126
Stroke 6,103,143
Stroke 6,111,150
Stroke 7,115,99
Stroke 7,118,119
Stroke 7,125,114
Stroke 7,169,115
Stroke 8,118,120
Stroke 8,114,141
Stroke 8,125,130
Stroke 8,169,130
Stroke 9,161,91
Stroke 9,187,93
Stroke 9,172,104
Stroke 9,171,148
