label,x,y
Stroke 1,84,90
Stroke 1,81,118
Stroke 1,96,106
Stroke 1,139,107
Stroke 2,96,109
Stroke 2,97,121
Stroke 2,103,119
Stroke 2,138,120
Stroke 3,97,123
Stroke 3,95,137
Stroke 3,103,132
Stroke 3,137,131
Stroke 4,83,123
Stroke 4,81,151
Stroke 4,94,140
Stroke 4,139,140
Stroke 5,134,110
Stroke 5,151,94
Stroke 5,147,108
Stroke 5,154,115
Stroke 6,134,144
Stroke 6,151,125
Stroke 6,146,143
Stroke 6,154,149
Stroke 7,149,90
Stroke 7,176,92
Stroke 7,160,102
Stroke 7,160,147
