label,x,y
Stroke 1,71,115
Stroke 1,90,96
Stroke 1,85,113
Stroke 1,93,120
Stroke 2,72,139
Stroke 2,89,121
Stroke 2,85,137
Stroke 2,93,144
Stroke 3,91,116
Stroke 3,107,97
Stroke 3,102,115
Stroke 3,110,121
Stroke 4,89,139
Stroke 4,106,120
Stroke 4,102,139
Stroke 4,110,146
Stroke 5,110,134
Stroke 5,113,107
Stroke 5,123,124
Stroke 5,167,124
Stroke 6,116,91
Stroke 6,144,93
Stroke 6,128,103
Stroke 6,128,148
Stroke 7,158,91
Stroke 7,185,92
Stroke 7,170,103
Stroke 7,169,148
Stroke 8,137,134
Stroke 8,156,115
Stroke 8,151,132
Stroke 8,159,140
