label,x,y
Stroke 1,54,95
Stroke 1,57,115
Stroke 1,109,111
Stroke 2,129,98
Stroke 2,126,121
Stroke 2,111,111
Stroke 2,69,112
Stroke 1,65,112
Stroke 3,57,117
Stroke 3,52,138
Stroke 3,64,127
Stroke 3,108,127
Stroke 4,128,113
Stroke 4,125,137
Stroke 4,109,127
Stroke 5,78,114
Stroke 5,91,119
Stroke 5,85,124
Stroke 5,85,139
Stroke 6,103,117
Stroke 6,89,119
Stroke 6,93,125
Stroke 6,92,140
Stroke 7,135,98
Stroke 7,135,118
Stroke 7,143,114
Stroke 7,187,114
Stroke 8,155,115
Stroke 8,169,115
Stroke 8,161,122
Stroke 8,161,129
Stroke 9,135,119
Stroke 9,131,141
Stroke 9,144,130
Stroke 9,188,130
Stroke 10,181,106
Stroke 10,204,108
Stroke 10,191,115
Stroke 10,190,150
Stroke 11,181,88
Stroke 11,203,89
Stroke 11,190,97
Stroke 11,190,108
